fact_id,source_id,status,claim,source_url,appears_in,tested_by,supporting_quote,checked_by,checked_at,notes,pre_check,fact_check,fact_check_evidence,weak_evidence
"fact.art_history.metanduno_stencil_age","source.griffith_metanduno_stencil","unverified","A hand stencil in Liang Metanduno cave on Muna island, Indonesia, is at least 67,800 years old, the oldest reliably dated cave art yet found.","https://news.griffith.edu.au/2026/01/22/worlds-oldest-rock-art-holds-clues-to-early-human-migration-to-australia/","L1 card.art_history.001.c1; L1 card.art_history.001.c2; L5 card.art_history.005.c3; L10 card.art_history.010.c2; L50 card.art_history.050.c3","L1 question.art_history.001.q1; L1 question.art_history.001.q2; L3 question.art_history.003.q3; L5 question.art_history.005.q3; L11 question.art_history.011.q3; L14 question.art_history.014.q3; L35 question.art_history.035.q3; L50 question.art_history.050.q1; L100 question.art_history.100.q1","","","","","","corroborated","ABC News, CNN and ScienceDaily report the Liang Metanduno hand stencil on Muna, Sulawesi, has a uranium-series minimum age of 67,800 years, the oldest known rock art. (https://www.abc.net.au/news/science/2026-01-22/oldest-rock-art-hand-prints-sulawesi/106245480 https://www.sciencedaily.com/releases/2026/03/260322020300.htm https://edition.cnn.com/2026/01/21/science/hand-stencil-oldest-rock-art)",""
"fact.art_history.metanduno_stencil_age","source.smithsonianmag_metanduno_stencil","unverified","A hand stencil in Liang Metanduno cave on Muna island, Indonesia, is at least 67,800 years old, the oldest reliably dated cave art yet found.","https://www.smithsonianmag.com/smart-news/can-you-see-the-faded-outline-of-a-hand-archaeologists-say-this-67800-year-old-stencil-may-be-the-worlds-oldest-known-rock-art-180988054/","L1 card.art_history.001.c1; L1 card.art_history.001.c2; L5 card.art_history.005.c3; L10 card.art_history.010.c2; L50 card.art_history.050.c3","L1 question.art_history.001.q1; L1 question.art_history.001.q2; L3 question.art_history.003.q3; L5 question.art_history.005.q3; L11 question.art_history.011.q3; L14 question.art_history.014.q3; L35 question.art_history.035.q3; L50 question.art_history.050.q1; L100 question.art_history.100.q1","","","","","","corroborated","ABC News, CNN and ScienceDaily report the Liang Metanduno hand stencil on Muna, Sulawesi, has a uranium-series minimum age of 67,800 years, the oldest known rock art. (https://www.abc.net.au/news/science/2026-01-22/oldest-rock-art-hand-prints-sulawesi/106245480 https://www.sciencedaily.com/releases/2026/03/260322020300.htm https://edition.cnn.com/2026/01/21/science/hand-stencil-oldest-rock-art)",""
"fact.art_history.stencil_method","source.smithsonianmag_metanduno_stencil","unverified","A hand stencil is made by pressing a hand to the rock and blowing or spraying pigment such as red ochre over it, so the hand's outline stays on bare rock.","https://www.smithsonianmag.com/smart-news/can-you-see-the-faded-outline-of-a-hand-archaeologists-say-this-67800-year-old-stencil-may-be-the-worlds-oldest-known-rock-art-180988054/","L1 card.art_history.001.c1; L5 card.art_history.005.c3; L88 card.art_history.088.c4; L100 card.art_history.100.c1","L1 question.art_history.001.q1; L3 question.art_history.003.q3; L5 question.art_history.005.q3; L14 question.art_history.014.q3; L50 question.art_history.050.q1; L100 question.art_history.100.q1","","","","","","corroborated","ABC News: a hand is placed on the wall and red ochre is blown on top of it; other reports call stencils negative handprints made by blowing pigment around the hand. (https://www.abc.net.au/news/science/2026-01-22/oldest-rock-art-hand-prints-sulawesi/106245480 https://www.aljazeera.com/news/2026/1/22/worlds-oldest-cave-art-discovered-in-indonesias-muna-island)",""
"fact.art_history.stencil_method","source.brit_cave_art","unverified","A hand stencil is made by pressing a hand to the rock and blowing or spraying pigment such as red ochre over it, so the hand's outline stays on bare rock.","https://www.britannica.com/art/cave-art","L1 card.art_history.001.c1; L5 card.art_history.005.c3; L88 card.art_history.088.c4; L100 card.art_history.100.c1","L1 question.art_history.001.q1; L3 question.art_history.003.q3; L5 question.art_history.005.q3; L14 question.art_history.014.q3; L50 question.art_history.050.q1; L100 question.art_history.100.q1","","","","","","corroborated","ABC News: a hand is placed on the wall and red ochre is blown on top of it; other reports call stencils negative handprints made by blowing pigment around the hand. (https://www.abc.net.au/news/science/2026-01-22/oldest-rock-art-hand-prints-sulawesi/106245480 https://www.aljazeera.com/news/2026/1/22/worlds-oldest-cave-art-discovered-in-indonesias-muna-island)",""
"fact.art_history.writing_date","source.brit_cuneiform","unverified","Writing (Sumerian cuneiform) emerged around the end of the 4th millennium BCE, about 5,200 years ago.","https://www.britannica.com/topic/cuneiform","L1 card.art_history.001.c2; L11 card.art_history.011.c4","L1 question.art_history.001.q2; L11 question.art_history.011.q3; L35 question.art_history.035.q3","","","","","","corroborated","World History Encyclopedia: cuneiform was developed further in Uruk around 3200 BCE; other sources date the first cuneiform to about 3200 BCE. (https://www.worldhistory.org/cuneiform/ https://www.historyofinformation.com/detail.php?id=1283)",""
"fact.art_history.mona_lisa_date","source.brit_mona_lisa","unverified","Leonardo da Vinci began painting the Mona Lisa about 1503.","https://www.britannica.com/topic/Mona-Lisa-painting","L1 card.art_history.001.c2; L35 card.art_history.035.c3; L97 card.art_history.097.c1","L1 question.art_history.001.q2; L11 question.art_history.011.q3; L35 question.art_history.035.q3","","","","","","corroborated","PBS and Wikipedia: Leonardo began the Mona Lisa in Florence in 1503. (https://www.pbs.org/kenburns/leonardo-da-vinci/the-mona-lisa https://en.wikipedia.org/wiki/Mona_Lisa)",""
"fact.art_history.art_day_clock","source.griffith_metanduno_stencil","unverified","Squeezing the 67,800 years since the oldest known cave art into one 24-hour day, writing (about 5,200 years ago) appears just after 10 p.m., after more than 22 hours, and the Mona Lisa (about 1503) about 11 minutes before midnight.","https://news.griffith.edu.au/2026/01/22/worlds-oldest-rock-art-holds-clues-to-early-human-migration-to-australia/","L1 card.art_history.001.c2","L1 question.art_history.001.q2; L11 question.art_history.011.q3; L35 question.art_history.035.q3","","","","","","corroborated","Arithmetic from the inputs: 5,226/67,800 of 24 h is 1.85 h, so writing appears about 10:09 p.m.; 523/67,800 of 1,440 min is 11.1 min before midnight. (https://www.abc.net.au/news/science/2026-01-22/oldest-rock-art-hand-prints-sulawesi/106245480 https://www.worldhistory.org/cuneiform/)",""
"fact.art_history.art_day_clock","source.brit_cuneiform","unverified","Squeezing the 67,800 years since the oldest known cave art into one 24-hour day, writing (about 5,200 years ago) appears just after 10 p.m., after more than 22 hours, and the Mona Lisa (about 1503) about 11 minutes before midnight.","https://www.britannica.com/topic/cuneiform","L1 card.art_history.001.c2","L1 question.art_history.001.q2; L11 question.art_history.011.q3; L35 question.art_history.035.q3","","","","","","corroborated","Arithmetic from the inputs: 5,226/67,800 of 24 h is 1.85 h, so writing appears about 10:09 p.m.; 523/67,800 of 1,440 min is 11.1 min before midnight. (https://www.abc.net.au/news/science/2026-01-22/oldest-rock-art-hand-prints-sulawesi/106245480 https://www.worldhistory.org/cuneiform/)",""
"fact.art_history.art_day_clock","source.brit_mona_lisa","unverified","Squeezing the 67,800 years since the oldest known cave art into one 24-hour day, writing (about 5,200 years ago) appears just after 10 p.m., after more than 22 hours, and the Mona Lisa (about 1503) about 11 minutes before midnight.","https://www.britannica.com/topic/Mona-Lisa-painting","L1 card.art_history.001.c2","L1 question.art_history.001.q2; L11 question.art_history.011.q3; L35 question.art_history.035.q3","","","","","","corroborated","Arithmetic from the inputs: 5,226/67,800 of 24 h is 1.85 h, so writing appears about 10:09 p.m.; 523/67,800 of 1,440 min is 11.1 min before midnight. (https://www.abc.net.au/news/science/2026-01-22/oldest-rock-art-hand-prints-sulawesi/106245480 https://www.worldhistory.org/cuneiform/)",""
"fact.art_history.eras_sequence","source.brit_western_painting","unverified","Britannica's history of Western painting runs from the Stone Age through ancient Greece and Rome, the Middle Ages, the Renaissance, the Baroque and the Neoclassical and Romantic periods to modern art.","https://www.britannica.com/art/Western-painting","L1 card.art_history.001.c3","L1 question.art_history.001.q3; L25 question.art_history.025.q3; L41 question.art_history.041.q3; L100 question.art_history.100.q2","","","","","","corroborated","Other surveys give the same order: the Renaissance followed the Middle Ages and revived Greece and Rome, the Baroque followed the Renaissance, and modern painting emerged in mid-19th-century France. (https://www.history.com/topics/renaissance/renaissance https://www.culturefrontier.com/baroque-art-characteristics/ https://pressbooks.pub/art104/chapter/early-photography-realism/)",""
