fact_id,source_id,status,claim,source_url,appears_in,tested_by,supporting_quote,checked_by,checked_at,notes,pre_check,fact_check,fact_check_evidence,weak_evidence
"fact.human_body.organ_systems_count","source.openstax_ap_body_organization","unverified","Anatomy textbooks such as OpenStax's count 11 organ systems in the human body; an organ system is a group of organs that work together on a major body function.","https://openstax.org/books/anatomy-and-physiology-2e/pages/1-2-structural-organization-of-the-human-body","L1 card.human_body.001.c1; L1 card.human_body.001.c2; L4 card.human_body.004.c2; L10 card.human_body.010.c2; L100 card.human_body.100.c1","L1 question.human_body.001.q1; L1 question.human_body.001.q3; L2 question.human_body.002.q3; L4 question.human_body.004.q3; L10 question.human_body.010.q3; L11 question.human_body.011.q3; L21 question.human_body.021.q3; L33 question.human_body.033.q3; L46 question.human_body.046.q3; L51 question.human_body.051.q3; L59 question.human_body.059.q3; L61 question.human_body.061.q3; L80 question.human_body.080.q3; L84 question.human_body.084.q3; L87 question.human_body.087.q3; L94 question.human_body.094.q3; L100 question.human_body.100.q1","","","","","","corroborated","Kenhub: ""the body is usually described as having 11 organ systems""; CK-12 lists the same eleven. (https://www.kenhub.com/en/library/anatomy/human-body-systems https://www.ck12.org/flexi/life-science/human-body/what-are-the-eleven-organ-systems-that-make-up-the-human-body/)",""
"fact.human_body.systems_shape_move","source.openstax_ap_body_organization","unverified","The integumentary system (skin, hair and nails) encloses the body, the skeletal system supports it, and the muscular system moves it along with the skeleton and helps keep it warm.","https://openstax.org/books/anatomy-and-physiology-2e/pages/1-2-structural-organization-of-the-human-body","L1 card.human_body.001.c2; L11 card.human_body.011.c4","L1 question.human_body.001.q1; L1 question.human_body.001.q3; L2 question.human_body.002.q3; L4 question.human_body.004.q3; L11 question.human_body.011.q3; L21 question.human_body.021.q3; L33 question.human_body.033.q3; L46 question.human_body.046.q3; L51 question.human_body.051.q3; L59 question.human_body.059.q3; L61 question.human_body.061.q3; L80 question.human_body.080.q3; L84 question.human_body.084.q3; L87 question.human_body.087.q3; L94 question.human_body.094.q3; L100 question.human_body.100.q1","","","","","","corroborated","Kenhub: integumentary protects the body surface, skeletal gives support and structure, muscular enables movement and generates heat. (https://www.kenhub.com/en/library/anatomy/human-body-systems)","one-page"
"fact.human_body.systems_supply_clean","source.openstax_ap_body_organization","unverified","The respiratory system brings in oxygen and removes carbon dioxide, the digestive system processes food, the cardiovascular system (heart and blood vessels) delivers oxygen and nutrients, and the urinary system removes waste from the blood and balances water.","https://openstax.org/books/anatomy-and-physiology-2e/pages/1-2-structural-organization-of-the-human-body","L1 card.human_body.001.c2; L4 card.human_body.004.c4; L46 card.human_body.046.c2","L1 question.human_body.001.q1; L1 question.human_body.001.q3; L2 question.human_body.002.q3; L4 question.human_body.004.q3; L11 question.human_body.011.q3; L21 question.human_body.021.q3; L33 question.human_body.033.q3; L46 question.human_body.046.q3; L51 question.human_body.051.q3; L59 question.human_body.059.q3; L61 question.human_body.061.q3; L80 question.human_body.080.q3; L84 question.human_body.084.q3; L87 question.human_body.087.q3; L94 question.human_body.094.q3; L100 question.human_body.100.q1","","","","","","corroborated","Kenhub: respiratory handles gas exchange, digestive absorbs nutrients, cardiovascular transports nutrients and gases, urinary eliminates waste and regulates fluid balance. (https://www.kenhub.com/en/library/anatomy/human-body-systems)","one-page"
"fact.human_body.systems_control_defend","source.openstax_ap_body_organization","unverified","The nervous system senses and responds, the endocrine system sends hormones that regulate the body, the lymphatic system returns fluid to the blood and defends against germs, and the reproductive system makes sex cells.","https://openstax.org/books/anatomy-and-physiology-2e/pages/1-2-structural-organization-of-the-human-body","L1 card.human_body.001.c2; L51 card.human_body.051.c1; L59 card.human_body.059.c2; L80 card.human_body.080.c3","L1 question.human_body.001.q1; L1 question.human_body.001.q3; L2 question.human_body.002.q3; L4 question.human_body.004.q3; L11 question.human_body.011.q3; L21 question.human_body.021.q3; L33 question.human_body.033.q3; L46 question.human_body.046.q3; L51 question.human_body.051.q3; L59 question.human_body.059.q3; L61 question.human_body.061.q3; L80 question.human_body.080.q3; L84 question.human_body.084.q3; L87 question.human_body.087.q3; L94 question.human_body.094.q3; L100 question.human_body.100.q1","","","","","","corroborated","Kenhub: nervous coordinates activity and perceives the environment, endocrine regulates body processes, lymphatic defends against infection, reproductive enables reproduction. (https://www.kenhub.com/en/library/anatomy/human-body-systems)","one-page"
"fact.human_body.teamwork_oxygen","source.openstax_ap_body_organization","unverified","The respiratory system delivers oxygen to the blood, and the cardiovascular system carries oxygen and nutrients on to the body's tissues.","https://openstax.org/books/anatomy-and-physiology-2e/pages/1-2-structural-organization-of-the-human-body","L1 card.human_body.001.c1; L1 card.human_body.001.c3; L40 card.human_body.040.c3; L50 card.human_body.050.c3","L1 question.human_body.001.q2; L50 question.human_body.050.q6; L92 question.human_body.092.q3","","","","","","corroborated","Kenhub: the respiratory system facilitates gas exchange, and the cardiovascular system transports nutrients and gases around the body. (https://www.kenhub.com/en/library/anatomy/human-body-systems)","one-page"
"fact.human_body.teamwork_movement","source.openstax_ap_body_organization","unverified","The nervous system detects and processes sensory information and activates the body's responses; the skeletal system supports the body and, with the muscular system, enables movement.","https://openstax.org/books/anatomy-and-physiology-2e/pages/1-2-structural-organization-of-the-human-body","L1 card.human_body.001.c3","L1 question.human_body.001.q2; L50 question.human_body.050.q6; L92 question.human_body.092.q3","","","","","","corroborated","Kenhub: skeletal system gives support, muscular system enables movement, nervous system coordinates activity and perceives the environment. (https://www.kenhub.com/en/library/anatomy/human-body-systems)","one-page"
"fact.human_body.teamwork_temperature","source.openstax_ap_body_organization","unverified","The muscular system helps maintain body temperature, and the cardiovascular system helps even out temperature across the body.","https://openstax.org/books/anatomy-and-physiology-2e/pages/1-2-structural-organization-of-the-human-body","L1 card.human_body.001.c4; L74 card.human_body.074.c2","L1 question.human_body.001.q3","","","","","","corroborated","A CCC Online anatomy text notes skeletal muscle generates heat to maintain body temperature and blood flow distributes it; Kenhub also says muscle generates heat. (https://pressbooks.ccconline.org/bio106/chapter/muscular-system-homeostasis/ https://www.kenhub.com/en/library/anatomy/human-body-systems)",""
"fact.human_body.cell_building_block","source.medlineplus_cell","unverified","Cells are the basic building blocks of all living things, and the human body is made of trillions of them.","https://medlineplus.gov/genetics/understanding/basics/cell/","L2 card.human_body.002.c1; L2 card.human_body.002.c2; L7 card.human_body.007.c3","L2 question.human_body.002.q2; L3 question.human_body.003.q3; L91 question.human_body.091.q3","","","","","","corroborated","NHGRI calls the cell ""the basic building block of living things""; MedlinePlus says the body is composed of trillions of cells. (https://www.genome.gov/genetics-glossary/Cell https://medlineplus.gov/genetics/understanding/basics/cell/)",""
"fact.human_body.cell_building_block","source.nhgri_cell","unverified","Cells are the basic building blocks of all living things, and the human body is made of trillions of them.","https://www.genome.gov/genetics-glossary/Cell","L2 card.human_body.002.c1; L2 card.human_body.002.c2; L7 card.human_body.007.c3","L2 question.human_body.002.q2; L3 question.human_body.003.q3; L91 question.human_body.091.q3","","","","","","corroborated","NHGRI calls the cell ""the basic building block of living things""; MedlinePlus says the body is composed of trillions of cells. (https://www.genome.gov/genetics-glossary/Cell https://medlineplus.gov/genetics/understanding/basics/cell/)",""
"fact.human_body.cell_jobs","source.medlineplus_cell","unverified","Cells provide structure for the body, take in nutrients from food, convert those nutrients into energy and carry out specialized functions; they also contain the body's hereditary material and can make copies of themselves.","https://medlineplus.gov/genetics/understanding/basics/cell/","L2 card.human_body.002.c2","L2 question.human_body.002.q2; L91 question.human_body.091.q3","","","","","","corroborated","LibreTexts nutrition text: the cell is the basic structural and functional unit of life, taking in nutrients and reproducing; NHGRI: mitochondria generate the cell's chemical energy. (https://courses.lumenlearning.com/sunyltnutrition/chapter/3-2-the-basic-structural-and-functional-unit-of-life-the-cell/ https://www.genome.gov/genetics-glossary/Mitochondria)",""
