fact_id,source_id,status,claim,source_url,appears_in,tested_by,supporting_quote,checked_by,checked_at,notes,pre_check,fact_check,fact_check_evidence,weak_evidence
"fact.middle_ages.span_definition","source.brit_middle_ages","unverified","The Middle Ages is the period of European history from the collapse of Roman civilization in the 5th century CE to the Renaissance.","https://www.britannica.com/event/Middle-Ages","L1 card.middle_ages.001.c1; L1 card.middle_ages.001.c2","L1 question.middle_ages.001.q1; L1 question.middle_ages.001.q3; L2 question.middle_ages.002.q3; L3 question.middle_ages.003.q3","","","","","","corroborated","Britannica Europe history page: period from about 500 to 1400-1500 traditionally known as the Middle Ages; Wikipedia Middle Ages: from the fall of the Western Roman Empire to the Renaissance. (https://www.britannica.com/topic/history-of-Europe/The-Middle-Ages https://en.wikipedia.org/wiki/Middle_Ages)",""
"fact.middle_ages.span_500_1500","source.brit_europe_middle_ages","unverified","The Middle Ages are traditionally dated from about 500 to 1400-1500 CE, roughly a thousand years.","https://www.britannica.com/topic/history-of-Europe/The-Middle-Ages","L1 card.middle_ages.001.c1; L1 card.middle_ages.001.c2; L1 card.middle_ages.001.c4; L2 card.middle_ages.002.c1; L98 card.middle_ages.098.c5","L1 question.middle_ages.001.q1; L1 question.middle_ages.001.q3; L2 question.middle_ages.002.q3; L3 question.middle_ages.003.q3","","","","","","corroborated","Britannica Middle Ages: from the 5th century to the Renaissance; Wikipedia High Middle Ages: the Late Middle Ages ended c. 1500 by convention. (https://www.britannica.com/event/Middle-Ages https://en.wikipedia.org/wiki/High_Middle_Ages)",""
"fact.middle_ages.renaissance_start_varies","source.brit_middle_ages","unverified","The Renaissance is variously dated as beginning in the 13th, 14th or 15th century, depending on the region of Europe.","https://www.britannica.com/event/Middle-Ages","L1 card.middle_ages.001.c2","L1 question.middle_ages.001.q1; L1 question.middle_ages.001.q3; L2 question.middle_ages.002.q3; L3 question.middle_ages.003.q3","","","","","","corroborated","Wikipedia Renaissance: began in Italy and spread to the rest of Europe by the 16th century, with a different period north of the Alps and in Spain. (https://en.wikipedia.org/wiki/Renaissance)","one-page weak-pages"
"fact.middle_ages.span_start_476","source.brit_odoacer","unverified","The usual marker for the start of the Middle Ages is 476, when the last emperor in the West was deposed, the traditional end of the Western Roman Empire.","https://www.britannica.com/biography/Odoacer","L1 card.middle_ages.001.c2; L12 card.middle_ages.012.c3; L98 card.middle_ages.098.c1; L98 card.middle_ages.098.c3","L1 question.middle_ages.001.q1; L1 question.middle_ages.001.q3; L2 question.middle_ages.002.q3; L3 question.middle_ages.003.q3","","","","","","corroborated","Wikipedia Middle Ages: 476, the removal of the last Roman emperor in the West, is used as a starting date, first by Bruni. (https://en.wikipedia.org/wiki/Middle_Ages)","one-page weak-pages"
"fact.middle_ages.periods_three","source.brit_europe_middle_ages","unverified","Historians often divide the Middle Ages into early, central or high, and late periods.","https://www.britannica.com/topic/history-of-Europe/The-Middle-Ages","L1 card.middle_ages.001.c3; L1 card.middle_ages.001.c4; L50 card.middle_ages.050.c3","L1 question.middle_ages.001.q2; L50 question.middle_ages.050.q3; L51 question.middle_ages.051.q3; L75 question.middle_ages.075.q3; L81 question.middle_ages.081.q3","","","","","","corroborated","Wikipedia High Middle Ages: between c. 1000 and c. 1300, preceded by the Early and followed by the Late Middle Ages. (https://en.wikipedia.org/wiki/High_Middle_Ages)","one-page weak-pages"
"fact.middle_ages.early_period_500_1000","source.brit_dark_ages","unverified","The early medieval period of western Europe ran from about 500 to 1000, a time of frequent warfare when town life virtually disappeared.","https://www.britannica.com/event/Dark-Ages","L1 card.middle_ages.001.c3; L1 card.middle_ages.001.c4; L51 card.middle_ages.051.c1; L51 card.middle_ages.051.c2","L1 question.middle_ages.001.q2; L50 question.middle_ages.050.q3; L51 question.middle_ages.051.q3; L75 question.middle_ages.075.q3; L81 question.middle_ages.081.q3","","","","","","corroborated","Wikipedia Early Middle Ages: late 5th to 10th century, with population decline especially in urban centres and ongoing warfare; followed by the High Middle Ages from the 11th century. (https://en.wikipedia.org/wiki/Early_Middle_Ages https://en.wikipedia.org/wiki/High_Middle_Ages)","weak-pages"
"fact.middle_ages.late_period_1300_1500","source.gale_late_middle_ages","unverified","The Late Middle Ages is dated from about 1300 to 1500.","https://www.encyclopedia.com/history/encyclopedias-almanacs-transcripts-and-maps/late-middle-ages-0","L1 card.middle_ages.001.c3","L50 question.middle_ages.050.q3; L75 question.middle_ages.075.q3; L81 question.middle_ages.081.q3","","","","","","corroborated","Wikipedia Late Middle Ages: the period of European history lasting from 1300 to 1500. (https://en.wikipedia.org/wiki/Late_Middle_Ages)","one-page weak-pages"
"fact.middle_ages.name_humanists","source.brit_middle_ages","unverified","Italian scholars of the Renaissance created the idea of the Middle Ages to set their own era, a revival of classical learning, apart from the thousand years before it, which they cast as darkness and ignorance.","https://www.britannica.com/event/Middle-Ages","L2 card.middle_ages.002.c1; L2 card.middle_ages.002.c2; L3 card.middle_ages.003.c2; L92 card.middle_ages.092.c2","L2 question.middle_ages.002.q1; L2 question.middle_ages.002.q3; L21 question.middle_ages.021.q3","","","","","","corroborated","Wikipedia Middle Ages: Leonardo Bruni first used the tripartite periodisation (1442); Petrarch saw the post-Roman centuries as dark against the light of antiquity. (https://en.wikipedia.org/wiki/Middle_Ages https://en.wikipedia.org/wiki/Dark_Ages_(historiography))","weak-pages"
"fact.middle_ages.medieval_etymology","source.etymonline_medieval","unverified","The word medieval comes from Latin medium, ""the middle"", and aevum, ""age"".","https://www.etymonline.com/word/medieval","L2 card.middle_ages.002.c2","L2 question.middle_ages.002.q1; L2 question.middle_ages.002.q3; L21 question.middle_ages.021.q3","","","","","","corroborated","Saylor literary terms (medium aevum, ""the Middle Age"") and Wikipedia Middle Ages (medium aevum). (https://resources.saylor.org/wwwresources/archived/site/wp-content/uploads/2012/06/LITERARY-TERMS-ND-DEFINITONS-medieval.pdf https://en.wikipedia.org/wiki/Middle_Ages)",""
"fact.middle_ages.petrarch_dark_time","source.brit_middle_ages","unverified","The 14th-century Italian scholar Petrarch wrote of living in a dark time that had begun with the decline of the Roman Empire.","https://www.britannica.com/event/Middle-Ages","L2 card.middle_ages.002.c3; L92 card.middle_ages.092.c2","","","","","","","corroborated","Wikipedia Dark Ages (historiography): Petrarch originated the concept of a Dark Age in the 1330s, calling the post-Roman centuries dark compared with the light of antiquity. (https://en.wikipedia.org/wiki/Dark_Ages_(historiography))","one-page weak-pages"
"fact.middle_ages.dark_ages_rarely_used","source.brit_dark_ages","unverified","The term ""Dark Ages"" is now rarely used by historians because of the value judgment it implies.","https://www.britannica.com/event/Dark-Ages","L2 card.middle_ages.002.c4; L10 card.middle_ages.010.c3","L2 question.middle_ages.002.q2; L9 question.middle_ages.009.q3; L10 question.middle_ages.010.q3; L100 question.middle_ages.100.q2","","","","","","corroborated","Wikipedia Dark Ages (historiography): now deprecated by most historians; most modern scholars avoid it because of its negative connotations. (https://en.wikipedia.org/wiki/Dark_Ages_(historiography))","one-page weak-pages"
"fact.middle_ages.dark_ages_meanings","source.brit_dark_ages","unverified","""Dark Ages"" is sometimes taken to mean a lack of information about the period, but its usual sense is a time of intellectual darkness and barbarity.","https://www.britannica.com/event/Dark-Ages","L2 card.middle_ages.002.c4","L2 question.middle_ages.002.q2; L9 question.middle_ages.009.q3; L10 question.middle_ages.010.q3; L100 question.middle_ages.100.q2","","","","","","corroborated","Wikipedia Dark Ages (historiography): the term is sometimes used for the relative scarcity of written records, but more commonly implies cultural decline. (https://en.wikipedia.org/wiki/Dark_Ages_(historiography))","one-page weak-pages"
"fact.middle_ages.dark_ages_evidence","source.nationaltrust_sutton_hoo","unverified","Archaeological finds such as the Sutton Hoo ship burial have shown the sophistication of a period once dismissed as the ""Dark Ages"".","https://www.nationaltrust.org.uk/visit/suffolk/sutton-hoo/history-of-archaeology-at-sutton-hoo","L2 card.middle_ages.002.c4","L2 question.middle_ages.002.q2; L9 question.middle_ages.009.q3; L10 question.middle_ages.010.q3; L100 question.middle_ages.100.q2","","","","","","corroborated","Current Archaeology: Sutton Hoo changed perceptions of Anglo-Saxon England forever. (https://archaeology.co.uk/articles/specials/sutton-hoo/18804.htm)","one-page"
"fact.middle_ages.odoacer_476","source.brit_odoacer","unverified","In 476 the Germanic commander Odoacer deposed Romulus Augustulus, the last emperor in the West; 476 is traditionally considered the end of the Western Roman Empire.","https://www.britannica.com/biography/Odoacer","L3 card.middle_ages.003.c1; L3 card.middle_ages.003.c2; L10 card.middle_ages.010.c2; L4 card.middle_ages.004.c1","L3 question.middle_ages.003.q1; L3 question.middle_ages.003.q2; L4 question.middle_ages.004.q3; L10 question.middle_ages.010.q1; L100 question.middle_ages.100.q1","","","","","","corroborated","Wikipedia Odoacer and Romulus Augustulus: Odoacer deposed Romulus Augustulus in 476, traditionally the end of the Western Roman Empire. (https://en.wikipedia.org/wiki/Odoacer https://en.wikipedia.org/wiki/Romulus_Augustulus)","weak-pages"
"fact.middle_ages.odoacer_476","source.brit_romulus_augustulus","unverified","In 476 the Germanic commander Odoacer deposed Romulus Augustulus, the last emperor in the West; 476 is traditionally considered the end of the Western Roman Empire.","https://www.britannica.com/biography/Romulus-Augustulus","L3 card.middle_ages.003.c1; L3 card.middle_ages.003.c2; L10 card.middle_ages.010.c2; L4 card.middle_ages.004.c1","L3 question.middle_ages.003.q1; L3 question.middle_ages.003.q2; L4 question.middle_ages.004.q3; L10 question.middle_ages.010.q1; L100 question.middle_ages.100.q1","","","","","","corroborated","Wikipedia Odoacer and Romulus Augustulus: Odoacer deposed Romulus Augustulus in 476, traditionally the end of the Western Roman Empire. (https://en.wikipedia.org/wiki/Odoacer https://en.wikipedia.org/wiki/Romulus_Augustulus)","weak-pages"
