fact_id,source_id,status,claim,source_url,appears_in,tested_by,supporting_quote,checked_by,checked_at,notes,pre_check,fact_check,fact_check_evidence,weak_evidence
"fact.how_money_works.money_three_jobs","source.imf_what_is_money","unverified","Money does three jobs: it is a medium of exchange, a unit of account and a store of value.","https://www.imf.org/external/pubs/ft/fandd/2012/09/basics.htm","L1 card.how_money_works.001.c1; L1 card.how_money_works.001.c2; L1 card.how_money_works.001.c3; L1 card.how_money_works.001.c4; L2 card.how_money_works.002.c3; L3 card.how_money_works.003.c1; L10 card.how_money_works.010.c4","L1 question.how_money_works.001.q1; L1 question.how_money_works.001.q2; L1 question.how_money_works.001.q3; L10 question.how_money_works.010.q3; L31 question.how_money_works.031.q3; L50 question.how_money_works.050.q6; L61 question.how_money_works.061.q3; L71 question.how_money_works.071.q3; L99 question.how_money_works.099.q3; L100 question.how_money_works.100.q1","","","","","","corroborated","IMF F&D, OpenStax and the St. Louis Fed each list the same three functions: store of value, unit of account and medium of exchange. The Bank of England's 2014 introduction lists the same three roles. (https://www.imf.org/external/pubs/ft/fandd/2012/09/basics.htm https://openstax.org/books/principles-economics-3e/pages/27-1-defining-money-by-its-functions https://www.stlouisfed.org/open-vault/2021/december/what-is-money)",""
"fact.how_money_works.money_three_jobs","source.openstax_money_functions","unverified","Money does three jobs: it is a medium of exchange, a unit of account and a store of value.","https://openstax.org/books/principles-economics-3e/pages/27-1-defining-money-by-its-functions","L1 card.how_money_works.001.c1; L1 card.how_money_works.001.c2; L1 card.how_money_works.001.c3; L1 card.how_money_works.001.c4; L2 card.how_money_works.002.c3; L3 card.how_money_works.003.c1; L10 card.how_money_works.010.c4","L1 question.how_money_works.001.q1; L1 question.how_money_works.001.q2; L1 question.how_money_works.001.q3; L10 question.how_money_works.010.q3; L31 question.how_money_works.031.q3; L50 question.how_money_works.050.q6; L61 question.how_money_works.061.q3; L71 question.how_money_works.071.q3; L99 question.how_money_works.099.q3; L100 question.how_money_works.100.q1","","","","","","corroborated","IMF F&D, OpenStax and the St. Louis Fed each list the same three functions: store of value, unit of account and medium of exchange. The Bank of England's 2014 introduction lists the same three roles. (https://www.imf.org/external/pubs/ft/fandd/2012/09/basics.htm https://openstax.org/books/principles-economics-3e/pages/27-1-defining-money-by-its-functions https://www.stlouisfed.org/open-vault/2021/december/what-is-money)",""
"fact.how_money_works.money_three_jobs","source.stlouisfed_what_is_money","unverified","Money does three jobs: it is a medium of exchange, a unit of account and a store of value.","https://www.stlouisfed.org/open-vault/2021/december/what-is-money","L1 card.how_money_works.001.c1; L1 card.how_money_works.001.c2; L1 card.how_money_works.001.c3; L1 card.how_money_works.001.c4; L2 card.how_money_works.002.c3; L3 card.how_money_works.003.c1; L10 card.how_money_works.010.c4","L1 question.how_money_works.001.q1; L1 question.how_money_works.001.q2; L1 question.how_money_works.001.q3; L10 question.how_money_works.010.q3; L31 question.how_money_works.031.q3; L50 question.how_money_works.050.q6; L61 question.how_money_works.061.q3; L71 question.how_money_works.071.q3; L99 question.how_money_works.099.q3; L100 question.how_money_works.100.q1","","","","","","corroborated","IMF F&D, OpenStax and the St. Louis Fed each list the same three functions: store of value, unit of account and medium of exchange. The Bank of England's 2014 introduction lists the same three roles. (https://www.imf.org/external/pubs/ft/fandd/2012/09/basics.htm https://openstax.org/books/principles-economics-3e/pages/27-1-defining-money-by-its-functions https://www.stlouisfed.org/open-vault/2021/december/what-is-money)",""
"fact.how_money_works.money_medium_of_exchange","source.openstax_money_functions","unverified","As a medium of exchange, money sits between buyer and seller: people accept it as payment so they can spend it on something else.","https://openstax.org/books/principles-economics-3e/pages/27-1-defining-money-by-its-functions","L1 card.how_money_works.001.c2; L41 card.how_money_works.041.c3; L71 card.how_money_works.071.c3","L1 question.how_money_works.001.q1; L1 question.how_money_works.001.q2; L71 question.how_money_works.071.q3","","","","","","corroborated","OpenStax: a medium of exchange acts as an intermediary between buyer and seller. The St. Louis Fed: money is widely accepted as a method of payment. (https://www.stlouisfed.org/open-vault/2021/december/what-is-money https://www.imf.org/external/pubs/ft/fandd/2012/09/basics.htm)",""
"fact.how_money_works.money_unit_of_account","source.openstax_money_functions","unverified","As a unit of account, money is the common ruler for measuring value, so prices are stated and compared in one unit, usually a currency.","https://openstax.org/books/principles-economics-3e/pages/27-1-defining-money-by-its-functions","L1 card.how_money_works.001.c3; L50 card.how_money_works.050.c3","L1 question.how_money_works.001.q1; L1 question.how_money_works.001.q3; L50 question.how_money_works.050.q6; L100 question.how_money_works.100.q1","","","","","","corroborated","OpenStax calls the unit of account 'the ruler by which we measure values'; IMF F&D: it provides a common base for prices. The Bank of England notes the unit of account is usually a currency, such as the pound. (https://www.stlouisfed.org/open-vault/2021/december/what-is-money https://www.bankofengland.co.uk/quarterly-bulletin/2014/q1/money-in-the-modern-economy-an-introduction)",""
"fact.how_money_works.money_unit_of_account","source.imf_what_is_money","unverified","As a unit of account, money is the common ruler for measuring value, so prices are stated and compared in one unit, usually a currency.","https://www.imf.org/external/pubs/ft/fandd/2012/09/basics.htm","L1 card.how_money_works.001.c3; L50 card.how_money_works.050.c3","L1 question.how_money_works.001.q1; L1 question.how_money_works.001.q3; L50 question.how_money_works.050.q6; L100 question.how_money_works.100.q1","","","","","","corroborated","OpenStax calls the unit of account 'the ruler by which we measure values'; IMF F&D: it provides a common base for prices. The Bank of England notes the unit of account is usually a currency, such as the pound. (https://www.stlouisfed.org/open-vault/2021/december/what-is-money https://www.bankofengland.co.uk/quarterly-bulletin/2014/q1/money-in-the-modern-economy-an-introduction)",""
"fact.how_money_works.money_store_of_value","source.imf_what_is_money","unverified","As a store of value, money can be saved and used later.","https://www.imf.org/external/pubs/ft/fandd/2012/09/basics.htm","L1 card.how_money_works.001.c4; L31 card.how_money_works.031.c4; L61 card.how_money_works.061.c3","L1 question.how_money_works.001.q1; L10 question.how_money_works.010.q3; L31 question.how_money_works.031.q3; L61 question.how_money_works.061.q3; L99 question.how_money_works.099.q3","","","","","","corroborated","IMF F&D: as a store of value people can save money and use it later. The St. Louis Fed makes the same point, contrasting money with corn that might rot. (https://www.stlouisfed.org/open-vault/2021/december/what-is-money)","one-page"
"fact.how_money_works.money_store_of_value","source.openstax_money_functions","unverified","As a store of value, money can be saved and used later.","https://openstax.org/books/principles-economics-3e/pages/27-1-defining-money-by-its-functions","L1 card.how_money_works.001.c4; L31 card.how_money_works.031.c4; L61 card.how_money_works.061.c3","L1 question.how_money_works.001.q1; L10 question.how_money_works.010.q3; L31 question.how_money_works.031.q3; L61 question.how_money_works.061.q3; L99 question.how_money_works.099.q3","","","","","","corroborated","IMF F&D: as a store of value people can save money and use it later. The St. Louis Fed makes the same point, contrasting money with corn that might rot. (https://www.stlouisfed.org/open-vault/2021/december/what-is-money)","one-page"
"fact.how_money_works.pow_radford_camp","source.economica_radford_pow_camp","unverified","Economist R. A. Radford, a prisoner of war in World War II, described his camp's economy in a 1945 paper.","https://www.jstor.org/stable/2550133","L1 card.how_money_works.001.c1; L57 card.how_money_works.057.c1; L61 card.how_money_works.061.c1","L57 question.how_money_works.057.q1","","","","","","corroborated","Finance Watch and other accounts: Radford studied economics at Cambridge, was captured in 1942, and published 'The Economic Organisation of a P.O.W. Camp' in Economica in November 1945. (https://www.finance-watch.org/blog/the-perfect-draw-when-cigarettes-became-a-war-camp-currency/ https://syncopate.us/articles/2006/n24a)",""
"fact.how_money_works.pow_cigarettes_currency","source.economica_radford_pow_camp","unverified","In Radford's camp, cigarettes became the normal currency: everyone, including non-smokers, would sell for cigarettes and use them to buy later.","https://www.jstor.org/stable/2550133","L1 card.how_money_works.001.c1; L1 card.how_money_works.001.c2; L6 card.how_money_works.006.c3","L1 question.how_money_works.001.q2","","","","","","corroborated","The paper's text (reproduced on syncopate.us): 'everyone, including non-smokers, was willing to sell for cigarettes, using them to buy at another time and place. Cigarettes became the normal currency'. Finance Watch: cigarettes rose to the status of currency. (https://syncopate.us/articles/2006/n24a https://www.finance-watch.org/blog/the-perfect-draw-when-cigarettes-became-a-war-camp-currency/)",""
