fact_id,source_id,status,claim,source_url,appears_in,tested_by,supporting_quote,checked_by,checked_at,notes,pre_check,fact_check,fact_check_evidence,weak_evidence
"fact.chemistry.chemistry_study_of_matter","source.openstax_chem_context","unverified","Chemistry is the study of the composition, properties and interactions of matter: what things are made of and how they change.","https://openstax.org/books/chemistry-2e/pages/1-1-chemistry-in-context","L1 card.chemistry.001.c2; L2 card.chemistry.002.c2; L99 card.chemistry.099.c2","L1 question.chemistry.001.q1; L1 question.chemistry.001.q2; L2 question.chemistry.002.q3","","","","","","corroborated","Britannica defines chemistry as the science of the properties, composition and structure of substances and the transformations they undergo, matching OpenStax. (https://www.britannica.com/science/chemistry)",""
"fact.chemistry.chemistry_study_of_matter","source.britannica_chemistry","unverified","Chemistry is the study of the composition, properties and interactions of matter: what things are made of and how they change.","https://www.britannica.com/science/chemistry","L1 card.chemistry.001.c2; L2 card.chemistry.002.c2; L99 card.chemistry.099.c2","L1 question.chemistry.001.q1; L1 question.chemistry.001.q2; L2 question.chemistry.002.q3","","","","","","corroborated","Britannica defines chemistry as the science of the properties, composition and structure of substances and the transformations they undergo, matching OpenStax. (https://openstax.org/books/chemistry-2e/pages/1-1-chemistry-in-context)",""
"fact.chemistry.chemistry_properties_examples","source.openstax_chem_properties","unverified","A substance's properties include how it looks and behaves, such as its hardness and whether it burns (flammability).","https://openstax.org/books/chemistry-2e/pages/1-3-physical-and-chemical-properties","L1 card.chemistry.001.c2","L1 question.chemistry.001.q1; L1 question.chemistry.001.q2; L2 question.chemistry.002.q3","","","","","","corroborated","Textbooks list hardness and color as physical properties and flammability as a chemical property. (https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry_(LibreTexts)/03:_Matter_and_Energy/3.06:_Changes_in_Matter_-_Physical_and_Chemical_Changes)","one-page"
"fact.chemistry.chemistry_origins_fire_crafts","source.openstax_chem_context","unverified","Humans began to practice chemistry when they learned to control fire and use it to cook, make pottery and smelt metals; cooking, fermentation, glass making and metalworking date from the beginnings of civilization.","https://openstax.org/books/chemistry-2e/pages/1-1-chemistry-in-context","L1 card.chemistry.001.c1; L1 card.chemistry.001.c2","L1 question.chemistry.001.q2","","","","","","corroborated","OpenStax says humans began practicing chemistry by using fire to cook, make pottery and smelt metals; Britannica says cooking, fermentation, glass making and metallurgy date from the beginnings of civilization. (https://www.britannica.com/science/chemistry)",""
"fact.chemistry.chemistry_origins_fire_crafts","source.britannica_chemistry","unverified","Humans began to practice chemistry when they learned to control fire and use it to cook, make pottery and smelt metals; cooking, fermentation, glass making and metalworking date from the beginnings of civilization.","https://www.britannica.com/science/chemistry","L1 card.chemistry.001.c1; L1 card.chemistry.001.c2","L1 question.chemistry.001.q2","","","","","","corroborated","OpenStax says humans began practicing chemistry by using fire to cook, make pottery and smelt metals; Britannica says cooking, fermentation, glass making and metallurgy date from the beginnings of civilization. (https://openstax.org/books/chemistry-2e/pages/1-1-chemistry-in-context)",""
"fact.chemistry.central_science_nickname","source.openstax_chem_context","unverified","Chemistry is sometimes called ""the central science"" because it connects with many other fields, such as biology, medicine, materials science, forensics and environmental science.","https://openstax.org/books/chemistry-2e/pages/1-1-chemistry-in-context","L1 card.chemistry.001.c3","L1 question.chemistry.001.q3; L47 question.chemistry.047.q3; L71 question.chemistry.071.q3","","","","","","corroborated","The nickname, popularized by the Brown and LeMay textbook, reflects chemistry linking the physical, life and applied sciences. (https://en.wikipedia.org/wiki/The_central_science https://chem.libretexts.org/Courses/College_of_the_Canyons/Chem_201:_General_Chemistry_I_OER/01:_Matter_and_Measurements/1.01:_Chemistry-_The_Central_science)",""
"fact.chemistry.central_science_biochemistry","source.britannica_chemistry","unverified","Chemistry and biology meet in biochemistry, the study of the substances in living things and how they change.","https://www.britannica.com/science/chemistry","L1 card.chemistry.001.c3","L1 question.chemistry.001.q3; L47 question.chemistry.047.q3; L71 question.chemistry.071.q3","","","","","","corroborated","Biochemistry is standardly defined as the chemistry of living things. (https://en.wikipedia.org/wiki/Biochemistry)","one-page weak-pages"
"fact.chemistry.central_science_everyday","source.openstax_chem_context","unverified","Digesting food, making the polymers used in clothing and credit cards, and refining crude oil into gasoline are all examples of chemistry.","https://openstax.org/books/chemistry-2e/pages/1-1-chemistry-in-context","L1 card.chemistry.001.c3; L47 card.chemistry.047.c3","L1 question.chemistry.001.q3; L47 question.chemistry.047.q3; L71 question.chemistry.071.q3","","","","","","corroborated","OpenStax lists digesting food, synthesizing polymers for clothing, containers, cookware and credit cards, and refining crude oil into gasoline as examples of chemistry; confirmed on the page and consistent with Britannica on biochemistry and industrial chemistry. (https://www.britannica.com/science/chemistry)","one-page"
"fact.chemistry.matter_mass_and_space","source.openstax_chem_phases","unverified","Matter is anything that has mass and takes up space (occupies volume), from an ant to a truck to a whole galaxy.","https://openstax.org/books/chemistry-2e/pages/1-2-phases-and-classification-of-matter","L2 card.chemistry.002.c2; L10 card.chemistry.010.c4; L97 card.chemistry.097.c3; L99 card.chemistry.099.c2","L2 question.chemistry.002.q3; L3 question.chemistry.003.q3; L82 question.chemistry.082.q3; L97 question.chemistry.097.q2; L99 question.chemistry.099.q3; L100 question.chemistry.100.q9","","","","","","corroborated","Both OpenStax and LibreTexts define matter as anything that has mass and occupies space; LibreTexts gives the ant, truck, Earth and galaxy examples. (https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry_(LibreTexts)/03:_Matter_and_Energy/3.02:_What_is_Matter)",""
"fact.chemistry.matter_mass_and_space","source.libretexts_what_is_matter","unverified","Matter is anything that has mass and takes up space (occupies volume), from an ant to a truck to a whole galaxy.","https://chem.libretexts.org/Bookshelves/Introductory_Chemistry/Introductory_Chemistry_(LibreTexts)/03:_Matter_and_Energy/3.02:_What_is_Matter","L2 card.chemistry.002.c2; L10 card.chemistry.010.c4; L97 card.chemistry.097.c3; L99 card.chemistry.099.c2","L2 question.chemistry.002.q3; L3 question.chemistry.003.q3; L82 question.chemistry.082.q3; L97 question.chemistry.097.q2; L99 question.chemistry.099.q3; L100 question.chemistry.100.q9","","","","","","corroborated","Both OpenStax and LibreTexts define matter as anything that has mass and occupies space; LibreTexts gives the ant, truck, Earth and galaxy examples. (https://openstax.org/books/chemistry-2e/pages/1-2-phases-and-classification-of-matter)",""
