fact_id,source_id,status,claim,source_url,appears_in,tested_by,supporting_quote,checked_by,checked_at,notes,pre_check,fact_check,fact_check_evidence,weak_evidence
"fact.animals.animal_traits_cells","source.openstax_bio_animal_features","unverified","Animals are multicellular eukaryotes, and unlike plants and fungi, their cells have no cell walls.","https://openstax.org/books/biology-2e/pages/27-1-features-of-the-animal-kingdom","L1 card.animals.001.c2; L1 card.animals.001.c3; L9 card.animals.009.c4; L45 card.animals.045.c4","L1 question.animals.001.q1; L1 question.animals.001.q2; L1 question.animals.001.q3; L45 question.animals.045.q3; L46 question.animals.046.q3; L100 question.animals.100.q1","","","","","","corroborated","Britannica (Animal): animals are ""multicellular eukaryotic organisms"" and lack the cell walls of plants and fungi. (https://www.britannica.com/animal/animal https://pressbooks.calstate.edu/biol102/chapter/wk5-animal-diversity/)",""
"fact.animals.animal_traits_heterotroph","source.openstax_bio_animal_features","unverified","All animals need a source of food: they are heterotrophs, eating other living or dead organisms rather than making their own food.","https://openstax.org/books/biology-2e/pages/27-1-features-of-the-animal-kingdom","L1 card.animals.001.c2; L1 card.animals.001.c3; L45 card.animals.045.c4","L1 question.animals.001.q1; L1 question.animals.001.q2; L1 question.animals.001.q3; L45 question.animals.045.q3; L46 question.animals.046.q3; L100 question.animals.100.q1","","","","","","corroborated","CSU Introduction to Living Systems and CK-12: animals are heterotrophic, ingesting other organisms, unlike autotrophic plants. (https://pressbooks.calstate.edu/biol102/chapter/wk5-animal-diversity/ https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/2.17/primary/lesson/autotrophs-and-heterotrophs-bio/)",""
"fact.animals.animal_traits_motile","source.openstax_bio_animal_features","unverified","Most animals can move, at least during some stage of life.","https://openstax.org/books/biology-2e/pages/27-1-features-of-the-animal-kingdom","L1 card.animals.001.c2","L1 question.animals.001.q1; L1 question.animals.001.q2; L1 question.animals.001.q3; L45 question.animals.045.q3; L46 question.animals.046.q3; L100 question.animals.100.q1","","","","","","corroborated","Britannica (Animal) names mobility as one of the primary characteristics of animals; CSU text: animals usually develop into motile creatures. (https://www.britannica.com/animal/animal https://pressbooks.calstate.edu/biol102/chapter/wk5-animal-diversity/)",""
"fact.animals.sponge_mistaken_plant","source.brit_animal","unverified","Sponges, which lack muscle tissue, were long considered plants; only after their small movements were noticed in 1765 did their animal nature slowly come to be recognized.","https://www.britannica.com/animal/animal","L1 card.animals.001.c1; L46 card.animals.046.c1","","","","","","","corroborated","Britannica Kids (Sponges): not until 1765, when John Ellis observed water circulating through a sponge, was its animal nature recognized; Ellis's 1765 Royal Society letter ""On the nature and formation of sponges"". (https://kids.britannica.com/students/article/sponges/277184 https://royalsocietypublishing.org/doi/10.1098/rstl.1765.0032)",""
"fact.animals.sponge_life_stages","source.openstax_bio_porifera","unverified","Sponge larvae can swim, but adult sponges do not move from place to place: they spend their lives attached to a surface.","https://openstax.org/books/biology-2e/pages/28-1-phylum-porifera","L1 card.animals.001.c1; L1 card.animals.001.c3","L1 question.animals.001.q2","","","","","","corroborated","OERTX Biology (Phylum Porifera) and NOAA Ocean Exploration: sponge larvae swim, adults are immobile and stuck to the surface they grow on. (https://oertx.highered.texas.gov/courseware/lesson/1751/student/?section=8 https://oceanexplorer.noaa.gov/facts/sponge-diversity.html)",""
"fact.animals.sponge_life_stages","source.noaa_sponge","unverified","Sponge larvae can swim, but adult sponges do not move from place to place: they spend their lives attached to a surface.","https://oceanservice.noaa.gov/facts/sponge.html","L1 card.animals.001.c1; L1 card.animals.001.c3","L1 question.animals.001.q2","","","","","","corroborated","OERTX Biology (Phylum Porifera) and NOAA Ocean Exploration: sponge larvae swim, adults are immobile and stuck to the surface they grow on. (https://oertx.highered.texas.gov/courseware/lesson/1751/student/?section=8 https://oceanexplorer.noaa.gov/facts/sponge-diversity.html)",""
"fact.animals.sponge_filter_feeding","source.noaa_sponge","unverified","A sponge feeds by filtering water through its porous body; tiny hairlike flagella create currents that bring in bacteria to eat, along with oxygen.","https://oceanservice.noaa.gov/facts/sponge.html","L1 card.animals.001.c3","L1 question.animals.001.q2","","","","","","corroborated","OpenStax Biology 2e 28.1: sponges are filter feeders whose flagellated choanocytes create water currents and trap food particles such as bacteria. (https://openstax.org/books/biology-2e/pages/28-1-phylum-porifera https://oceanexplorer.noaa.gov/facts/sponge-diversity.html)",""
"fact.animals.vertebrate_groups","source.brit_vertebrate","unverified","Vertebrates are grouped as fishes, amphibians, reptiles, birds and mammals.","https://www.britannica.com/animal/vertebrate","L1 card.animals.001.c4; L3 card.animals.003.c1; L3 card.animals.003.c2; L10 card.animals.010.c2; L10 card.animals.010.c3; L21 card.animals.021.c3; L50 card.animals.050.c1; L50 card.animals.050.c2; L85 card.animals.085.c4; L87 card.animals.087.c4","L1 question.animals.001.q3; L2 question.animals.002.q3; L50 question.animals.050.q7; L85 question.animals.085.q3; L87 question.animals.087.q3","","","","","","corroborated","EBSCO Research Starters (Vertebrates): the main classes are lampreys, true fish, amphibians, reptiles, birds and mammals. (https://www.ebsco.com/research-starters/zoology/vertebrates/ https://kids.britannica.com/kids/article/vertebrate/400295)",""
"fact.animals.invertebrate_examples","source.brit_invertebrate","unverified","Invertebrates include sea stars, sea urchins, earthworms, sponges, jellyfish, lobsters, crabs, insects, spiders, snails, clams and squid.","https://www.britannica.com/animal/invertebrate","L1 card.animals.001.c4; L3 card.animals.003.c3; L10 card.animals.010.c2; L45 card.animals.045.c4; L50 card.animals.050.c2","L1 question.animals.001.q3; L2 question.animals.002.q3; L50 question.animals.050.q7; L85 question.animals.085.q3; L98 question.animals.098.q3","","","","","","corroborated","AMNH Ology (Invertebrate) and CK-12: animals without backbones include insects, crustaceans, worms, jellyfish, sponges and mollusks. (https://www.amnh.org/explore/ology/ology-cards/188-invertebrate https://flexbooks.ck12.org/cbook/ck-12-cbse-biology-class-11/section/4.2/primary/lesson/invertebrates/)",""
"fact.animals.species_described_iucn","source.iucn_redlist_table1a_2025","unverified","The IUCN Red List's 2025 table estimates about 1.55 million described animal species (roughly 1.5 million), including about 1 million insects; IUCN cautions the figures are not always up to date.","https://nc.iucnredlist.org/redlist/content/attachment_files/2025-1_RL_Table_1a.pdf","L2 card.animals.002.c1; L2 card.animals.002.c2; L3 card.animals.003.c4; L11 card.animals.011.c4; L51 card.animals.051.c4; L93 card.animals.093.c3","L2 question.animals.002.q1; L2 question.animals.002.q3; L3 question.animals.003.q3; L93 question.animals.093.q3","","","","","","corroborated","Britannica: more than 76,000 living vertebrate species and more than 90 percent of animal species invertebrates; Our World in Data charts IUCN described-species counts with insects near 1 million. (https://www.britannica.com/animal/vertebrate https://ourworldindata.org/grapher/number-of-described-species)",""
