fact_id,source_id,status,claim,source_url,appears_in,tested_by,supporting_quote,checked_by,checked_at,notes,pre_check,fact_check,fact_check_evidence,weak_evidence
"fact.everyday_technology.technology_definition","source.brit_technology","unverified","Britannica defines technology as the application of scientific knowledge to the practical aims of human life.","https://www.britannica.com/technology/technology","L1 card.everyday_technology.001.c2; L51 card.everyday_technology.051.c2; L91 card.everyday_technology.091.c2","L1 question.everyday_technology.001.q3; L2 question.everyday_technology.002.q3; L41 question.everyday_technology.041.q3; L51 question.everyday_technology.051.q3; L91 question.everyday_technology.091.q3; L98 question.everyday_technology.098.q3","","","","","","corroborated","Merriam-Webster defines technology as the practical application of knowledge, especially in a particular area. (https://www.merriam-webster.com/dictionary/technology)","one-page"
"fact.everyday_technology.lomekwi_tools","source.smithsonianmag_lomekwi_tools","unverified","Stone tools from Lomekwi 3 in Kenya, about 3.3 million years old, are the oldest known and predate the genus Homo.","https://www.smithsonianmag.com/science-nature/oldest-known-stone-tools-unearthed-kenya-180955341/","L1 card.everyday_technology.001.c1; L1 card.everyday_technology.001.c3","L1 question.everyday_technology.001.q1; L1 question.everyday_technology.001.q3","","","","","","corroborated","Nature (Harmand et al. 2015) reports 3.3-million-year-old stone tools from Lomekwi 3, West Turkana; Stony Brook University calls them the earliest stone tools on record, older than the Oldowan by 700,000 years. (https://www.nature.com/articles/nature14464 https://news.stonybrookmedicine.edu/news/stony-brook-scientists-discover-oldest-stone-tools-on-record-2/)",""
"fact.everyday_technology.homo_sapiens_age","source.si_homo_sapiens","unverified","Our species, Homo sapiens, evolved in Africa about 300,000 years ago.","https://humanorigins.si.edu/evidence/human-fossils/species/homo-sapiens","L1 card.everyday_technology.001.c4","","","","","","","corroborated","The Natural History Museum, London, dates the oldest known Homo sapiens fossils (Jebel Irhoud, Morocco) to about 300,000 years ago. (https://www.nhm.ac.uk/discover/news/2017/june/oldest-known-homo-sapiens-fossils-discovered-in-morocco.html https://humanorigins.si.edu/research/whats-hot-human-origins/our-species-arose-least-300000-years-ago)",""
"fact.everyday_technology.wheel_mesopotamia","source.brit_wheel","unverified","Wheels appear in Mesopotamia by about 3500 BCE, both on carts (a Sumerian pictograph of a wheeled sledge) and as the potter's wheel.","https://www.britannica.com/technology/wheel","L1 card.everyday_technology.001.c3","L1 question.everyday_technology.001.q3; L87 question.everyday_technology.087.q3; L100 question.everyday_technology.100.q9","","","","","","corroborated","Uruk pictographs of wheeled wagons are dated to about 3500 to 3350 BCE; a Polish pot of 3635 to 3370 BCE also shows wheeled vehicles, so about 3500 BCE is the accepted era. (https://en.wikipedia.org/wiki/Wheel https://en.wikipedia.org/wiki/Bronocice_pot)","weak-pages"
"fact.everyday_technology.gutenberg_press","source.brit_gutenberg","unverified","Johannes Gutenberg built Europe's first known mechanized printing press and printed his Bible around 1455, making books far cheaper to produce.","https://www.britannica.com/biography/Johannes-Gutenberg","L1 card.everyday_technology.001.c3; L41 card.everyday_technology.041.c3; L87 card.everyday_technology.087.c3","L1 question.everyday_technology.001.q3; L87 question.everyday_technology.087.q3; L100 question.everyday_technology.100.q9","","","","","","corroborated","Library of Congress: the Gutenberg Bible, printed in Mainz about 1454 to 1455, was the first major Western book printed with movable metal type, opening an age of mass-produced books. (https://www.loc.gov/exhibits/bibles/the-gutenberg-bible.html)","one-page"
"fact.everyday_technology.edison_1879_bulb","source.brit_incandescent_lamp","unverified","In 1879 Thomas Edison developed a carbon-filament incandescent light bulb.","https://www.britannica.com/technology/incandescent-lamp","L1 card.everyday_technology.001.c3; L5 card.everyday_technology.005.c3","L1 question.everyday_technology.001.q3; L87 question.everyday_technology.087.q3; L100 question.everyday_technology.100.q9","","","","","","corroborated","IEEE ETHW's Pearl Street milestone refers to Edison's 1879 incandescent lamp invention; its Edison lamp page describes the October 1879 carbon filament. (https://ethw.org/Milestones:Pearl_Street_Station,_1882 https://ethw.org/Edison's_Incandescent_Lamp)",""
"fact.everyday_technology.edison_1879_bulb","source.doe_history_light_bulb","unverified","In 1879 Thomas Edison developed a carbon-filament incandescent light bulb.","https://www.energy.gov/articles/history-light-bulb","L1 card.everyday_technology.001.c3; L5 card.everyday_technology.005.c3","L1 question.everyday_technology.001.q3; L87 question.everyday_technology.087.q3; L100 question.everyday_technology.100.q9","","","","","","corroborated","IEEE ETHW's Pearl Street milestone refers to Edison's 1879 incandescent lamp invention; its Edison lamp page describes the October 1879 carbon filament. (https://ethw.org/Milestones:Pearl_Street_Station,_1882 https://ethw.org/Edison's_Incandescent_Lamp)",""
"fact.everyday_technology.tool_history_day_clock","source.smithsonianmag_lomekwi_tools","unverified","Squeezing 3.3 million years of tools into 24 hours, Homo sapiens (300,000 years) arrives at about 9:49 p.m., wheels (about 3500 BCE) about 2.5 minutes before midnight, Volta's 1800 battery about 6 seconds before, and Edison's 1879 bulb under 4 seconds before.","https://www.smithsonianmag.com/science-nature/oldest-known-stone-tools-unearthed-kenya-180955341/","L1 card.everyday_technology.001.c4; L61 card.everyday_technology.061.c4","L1 question.everyday_technology.001.q2; L61 question.everyday_technology.061.q3","","","","","","corroborated","Arithmetic checked from corroborated inputs: 300,000/3.3M of 24 h = 2 h 11 min (9:49 p.m.); 5,526 yr = 145 s; 226 yr = 5.9 s; 147 yr = 3.85 s. (https://www.nature.com/articles/nature14464 https://www.nhm.ac.uk/discover/news/2017/june/oldest-known-homo-sapiens-fossils-discovered-in-morocco.html)",""
"fact.everyday_technology.tool_history_day_clock","source.si_homo_sapiens","unverified","Squeezing 3.3 million years of tools into 24 hours, Homo sapiens (300,000 years) arrives at about 9:49 p.m., wheels (about 3500 BCE) about 2.5 minutes before midnight, Volta's 1800 battery about 6 seconds before, and Edison's 1879 bulb under 4 seconds before.","https://humanorigins.si.edu/evidence/human-fossils/species/homo-sapiens","L1 card.everyday_technology.001.c4; L61 card.everyday_technology.061.c4","L1 question.everyday_technology.001.q2; L61 question.everyday_technology.061.q3","","","","","","corroborated","Arithmetic checked from corroborated inputs: 300,000/3.3M of 24 h = 2 h 11 min (9:49 p.m.); 5,526 yr = 145 s; 226 yr = 5.9 s; 147 yr = 3.85 s. (https://www.nature.com/articles/nature14464 https://www.nhm.ac.uk/discover/news/2017/june/oldest-known-homo-sapiens-fossils-discovered-in-morocco.html)",""
"fact.everyday_technology.tool_history_day_clock","source.brit_wheel","unverified","Squeezing 3.3 million years of tools into 24 hours, Homo sapiens (300,000 years) arrives at about 9:49 p.m., wheels (about 3500 BCE) about 2.5 minutes before midnight, Volta's 1800 battery about 6 seconds before, and Edison's 1879 bulb under 4 seconds before.","https://www.britannica.com/technology/wheel","L1 card.everyday_technology.001.c4; L61 card.everyday_technology.061.c4","L1 question.everyday_technology.001.q2; L61 question.everyday_technology.061.q3","","","","","","corroborated","Arithmetic checked from corroborated inputs: 300,000/3.3M of 24 h = 2 h 11 min (9:49 p.m.); 5,526 yr = 145 s; 226 yr = 5.9 s; 147 yr = 3.85 s. (https://www.nature.com/articles/nature14464 https://www.nhm.ac.uk/discover/news/2017/june/oldest-known-homo-sapiens-fossils-discovered-in-morocco.html)",""
