fact_id,source_id,status,claim,source_url,appears_in,tested_by,supporting_quote,checked_by,checked_at,notes,pre_check,fact_check,fact_check_evidence,weak_evidence
"fact.ancient_greece.bronze_age_palaces_end","source.brit_ancient_greece","unverified","Greece’s Bronze Age palace kingdoms, first on Crete and then on the mainland, ended around 1200 BCE, when the Mycenaean civilization fell.","https://www.britannica.com/place/ancient-Greece","L1 card.ancient_greece.001.c1; L1 card.ancient_greece.001.c2; L1 card.ancient_greece.001.c3; L7 card.ancient_greece.007.c1; L10 card.ancient_greece.010.c4","L1 question.ancient_greece.001.q1; L1 question.ancient_greece.001.q2; L10 question.ancient_greece.010.q5; L58 question.ancient_greece.058.q3; L61 question.ancient_greece.061.q3; L79 question.ancient_greece.079.q3; L86 question.ancient_greece.086.q3; L87 question.ancient_greece.087.q3; L100 question.ancient_greece.100.q1","","","","","","corroborated","Independent accounts of the Late Bronze Age collapse date the fall of the Mycenaean palaces to about 1200 BCE. (https://www.worldhistory.org/Greek_Dark_Age/ https://en.wikipedia.org/wiki/Late_Bronze_Age_collapse)",""
"fact.ancient_greece.dark_age_1200_800","source.worldhistory_greek_dark_age","unverified","The period from about 1200 to about 800 BCE, after the Mycenaean palaces fell, is often called the Greek Dark Age.","https://www.worldhistory.org/Greek_Dark_Age/","L1 card.ancient_greece.001.c1; L1 card.ancient_greece.001.c2; L7 card.ancient_greece.007.c1","L1 question.ancient_greece.001.q1; L10 question.ancient_greece.010.q5; L58 question.ancient_greece.058.q3; L61 question.ancient_greece.061.q3; L79 question.ancient_greece.079.q3; L86 question.ancient_greece.086.q3; L87 question.ancient_greece.087.q3; L100 question.ancient_greece.100.q1","","","","","","corroborated","Britannica calls the period after the catastrophic end of Mycenaean civilization a Dark Age; other references date it about 1200 (or 1100) to 800 BCE. (https://www.britannica.com/place/ancient-Greece https://en.wikipedia.org/wiki/Greek_Dark_Ages)",""
"fact.ancient_greece.archaic_800_480","source.worldhistory_archaic_period","unverified","The Archaic period, from about 800 BCE to 480 BCE, saw Greek city-states grow and colonies spread.","https://www.worldhistory.org/Archaic_Period/","L1 card.ancient_greece.001.c1; L1 card.ancient_greece.001.c2","L1 question.ancient_greece.001.q1; L10 question.ancient_greece.010.q5; L58 question.ancient_greece.058.q3; L61 question.ancient_greece.061.q3; L79 question.ancient_greece.079.q3; L86 question.ancient_greece.086.q3; L87 question.ancient_greece.087.q3; L100 question.ancient_greece.100.q1","","","","","","corroborated","Archaic Greece is dated from about 800 BC to the second Persian invasion in 480 BC; the poleis developed and Greeks settled across the Mediterranean and Black Sea. (https://en.wikipedia.org/wiki/Archaic_Greece)","one-page weak-pages"
"fact.ancient_greece.classical_480_323","source.worldhistory_archaic_period","unverified","The Classical period ran from about 480 BCE to the death of Alexander the Great in 323 BCE.","https://www.worldhistory.org/Archaic_Period/","L1 card.ancient_greece.001.c2; L1 card.ancient_greece.001.c3; L86 card.ancient_greece.086.c5","L1 question.ancient_greece.001.q1; L1 question.ancient_greece.001.q2; L10 question.ancient_greece.010.q5; L58 question.ancient_greece.058.q3; L61 question.ancient_greece.061.q3; L79 question.ancient_greece.079.q3; L86 question.ancient_greece.086.q3; L87 question.ancient_greece.087.q3; L100 question.ancient_greece.100.q1","","","","","","corroborated","Classical Greece is dated c. 480-323 BC, ending with Alexander's death, after which the Hellenistic period begins. (https://en.wikipedia.org/wiki/Classical_Greece https://www.britannica.com/event/Hellenistic-age)",""
"fact.ancient_greece.classical_480_323","source.brit_ancient_greece","unverified","The Classical period ran from about 480 BCE to the death of Alexander the Great in 323 BCE.","https://www.britannica.com/place/ancient-Greece","L1 card.ancient_greece.001.c2; L1 card.ancient_greece.001.c3; L86 card.ancient_greece.086.c5","L1 question.ancient_greece.001.q1; L1 question.ancient_greece.001.q2; L10 question.ancient_greece.010.q5; L58 question.ancient_greece.058.q3; L61 question.ancient_greece.061.q3; L79 question.ancient_greece.079.q3; L86 question.ancient_greece.086.q3; L87 question.ancient_greece.087.q3; L100 question.ancient_greece.100.q1","","","","","","corroborated","Classical Greece is dated c. 480-323 BC, ending with Alexander's death, after which the Hellenistic period begins. (https://en.wikipedia.org/wiki/Classical_Greece https://www.britannica.com/event/Hellenistic-age)",""
"fact.ancient_greece.classical_short_and_late","source.worldhistory_archaic_period","unverified","The Classical age (480 to 323 BCE) lasted less than 160 years and began roughly 700 years after the Bronze Age palaces fell around 1200 BCE.","https://www.worldhistory.org/Archaic_Period/","L1 card.ancient_greece.001.c3","L1 question.ancient_greece.001.q2; L100 question.ancient_greece.100.q1","","","","","","corroborated","Arithmetic from the period dates: 480 - 323 = 157 years; 1200 - 480 = 720 years. Period dates match Wikipedia's Classical Greece (c. 480-323 BC) and the Late Bronze Age collapse (about 1200 BC). (https://en.wikipedia.org/wiki/Classical_Greece https://en.wikipedia.org/wiki/Late_Bronze_Age_collapse)","weak-pages"
"fact.ancient_greece.classical_short_and_late","source.brit_ancient_greece","unverified","The Classical age (480 to 323 BCE) lasted less than 160 years and began roughly 700 years after the Bronze Age palaces fell around 1200 BCE.","https://www.britannica.com/place/ancient-Greece","L1 card.ancient_greece.001.c3","L1 question.ancient_greece.001.q2; L100 question.ancient_greece.100.q1","","","","","","corroborated","Arithmetic from the period dates: 480 - 323 = 157 years; 1200 - 480 = 720 years. Period dates match Wikipedia's Classical Greece (c. 480-323 BC) and the Late Bronze Age collapse (about 1200 BC). (https://en.wikipedia.org/wiki/Classical_Greece https://en.wikipedia.org/wiki/Late_Bronze_Age_collapse)","weak-pages"
"fact.ancient_greece.hellenistic_323_30","source.brit_hellenistic_age","unverified","The Hellenistic age ran from Alexander’s death in 323 BCE to Rome’s conquest of Egypt, the last Hellenistic kingdom, in 30 BCE.","https://www.britannica.com/event/Hellenistic-age","L1 card.ancient_greece.001.c2; L1 card.ancient_greece.001.c3; L1 card.ancient_greece.001.c4; L86 card.ancient_greece.086.c5; L87 card.ancient_greece.087.c3","L1 question.ancient_greece.001.q1; L1 question.ancient_greece.001.q2; L1 question.ancient_greece.001.q3; L10 question.ancient_greece.010.q5; L58 question.ancient_greece.058.q3; L61 question.ancient_greece.061.q3; L79 question.ancient_greece.079.q3; L86 question.ancient_greece.086.q3; L87 question.ancient_greece.087.q3; L89 question.ancient_greece.089.q3; L100 question.ancient_greece.100.q1","","","","","","corroborated","Ptolemaic Egypt was the last of the successor kingdoms to fall to Rome, becoming a Roman province in 30 BC. (https://en.wikipedia.org/wiki/Hellenistic_period https://en.wikipedia.org/wiki/Ptolemaic_Kingdom)","weak-pages"
"fact.ancient_greece.rome_conquers_146","source.brit_lucius_mummius","unverified","In 146 BCE Rome defeated the Greek Achaean League and destroyed Corinth, bringing mainland Greece under Roman control.","https://www.britannica.com/biography/Lucius-Mummius","L1 card.ancient_greece.001.c1; L1 card.ancient_greece.001.c4; L89 card.ancient_greece.089.c4","L1 question.ancient_greece.001.q3; L89 question.ancient_greece.089.q3","","","","","","corroborated","In 146 BC the Romans under Lucius Mummius sacked Corinth after the Achaean War and annexed mainland Greece. (https://en.wikipedia.org/wiki/Battle_of_Corinth_(146_BC) https://en.wikipedia.org/wiki/Achaia_(Roman_province))","weak-pages"
"fact.ancient_greece.four_fifths_mountains","source.brit_greece_country","unverified","Mountains cover about four-fifths of Greece.","https://www.britannica.com/place/Greece","L2 card.ancient_greece.002.c2; L41 card.ancient_greece.041.c2","L2 question.ancient_greece.002.q1; L2 question.ancient_greece.002.q2; L11 question.ancient_greece.011.q3; L21 question.ancient_greece.021.q3; L41 question.ancient_greece.041.q3; L71 question.ancient_greece.071.q3; L81 question.ancient_greece.081.q3; L92 question.ancient_greece.092.q3; L100 question.ancient_greece.100.q2","","","","","","corroborated","Geography references give about 80 percent of Greece as mountainous. (https://www.worldatlas.com/articles/the-geography-of-greece.html https://en.wikipedia.org/wiki/Geography_of_Greece)",""
