fact_id,source_id,status,claim,source_url,appears_in,tested_by,supporting_quote,checked_by,checked_at,notes,pre_check,fact_check,fact_check_evidence,weak_evidence
"fact.ancient_egypt.kingdom_dates_oxford","source.oup_oxford_history_egypt","unverified","In the Oxford History of Ancient Egypt’s chronology, the Old Kingdom ran from about 2686 to 2160 BCE, the Middle Kingdom from about 2055 to 1650 BCE and the New Kingdom from about 1550 to 1069 BCE.","https://global.oup.com/academic/product/the-oxford-history-of-ancient-egypt-9780192804587","L1 card.ancient_egypt.001.c2; L10 card.ancient_egypt.010.c2; L20 card.ancient_egypt.020.c2; L37 card.ancient_egypt.037.c4; L50 card.ancient_egypt.050.c2; L70 card.ancient_egypt.070.c2; L71 card.ancient_egypt.071.c2; L81 card.ancient_egypt.081.c2; L82 card.ancient_egypt.082.c1","L1 question.ancient_egypt.001.q1; L9 question.ancient_egypt.009.q3; L17 question.ancient_egypt.017.q3; L29 question.ancient_egypt.029.q3; L37 question.ancient_egypt.037.q3; L50 question.ancient_egypt.050.q6; L57 question.ancient_egypt.057.q3; L61 question.ancient_egypt.061.q3; L71 question.ancient_egypt.071.q3; L75 question.ancient_egypt.075.q3; L81 question.ancient_egypt.081.q3","","","","","","corroborated","Full text of the Oxford History chronology table: Old Kingdom c.2686-2160 BC, Middle Kingdom c.2055-1650 BC, New Kingdom c.1550-1069 BC; a citation summary repeats Middle Kingdom c.2055-1650 BC. (https://archive.org/stream/TheOxfordHistoryOfAncient/The+Oxford+History+of+Ancient_djvu.txt https://scispace.com/papers/the-oxford-history-of-ancient-egypt-41v02gpcuk)",""
"fact.ancient_egypt.kingdom_highlights","source.met_egypt_educators","unverified","The Old Kingdom was the age of the great pyramids at Giza; the Middle Kingdom began when Egypt was reunited; in the New Kingdom Egypt became an empire.","https://resources.metmuseum.org/resources/metpublications/pdf/The_Art_of_Ancient_Egypt_A_Resource_for_Educators.pdf","L1 card.ancient_egypt.001.c2; L15 card.ancient_egypt.015.c1; L50 card.ancient_egypt.050.c1; L50 card.ancient_egypt.050.c2; L62 card.ancient_egypt.062.c2; L62 card.ancient_egypt.062.c4; L75 card.ancient_egypt.075.c2","L1 question.ancient_egypt.001.q1; L9 question.ancient_egypt.009.q3; L17 question.ancient_egypt.017.q3; L29 question.ancient_egypt.029.q3; L37 question.ancient_egypt.037.q3; L50 question.ancient_egypt.050.q6; L57 question.ancient_egypt.057.q3; L61 question.ancient_egypt.061.q3; L71 question.ancient_egypt.071.q3; L75 question.ancient_egypt.075.q3; L81 question.ancient_egypt.081.q3","","","","","","corroborated","Old Kingdom is often called the Age of the Pyramids; the Middle Kingdom began with reunification under Mentuhotep II; the New Kingdom was the largest expansion of the empire into Nubia and the Levant. (https://en.wikipedia.org/wiki/Old_Kingdom_of_Egypt https://www.thetravel.com/egypts-old-middle-new-kingdoms/)",""
"fact.ancient_egypt.intermediate_periods_split","source.met_egypt_educators","unverified","Between the kingdoms came the First, Second and Third Intermediate Periods, when the land was politically divided, often under local rulers in Upper and Lower Egypt.","https://resources.metmuseum.org/resources/metpublications/pdf/The_Art_of_Ancient_Egypt_A_Resource_for_Educators.pdf","L1 card.ancient_egypt.001.c3; L61 card.ancient_egypt.061.c1; L82 card.ancient_egypt.082.c3","L1 question.ancient_egypt.001.q2; L82 question.ancient_egypt.082.q3","","","","","","corroborated","Summaries of the three kingdoms: Egypt split into two during the First Intermediate Period before reunification under Mentuhotep II began the Middle Kingdom. (https://www.thetravel.com/egypts-old-middle-new-kingdoms/ https://en.wikipedia.org/wiki/Ancient_Egypt)",""
"fact.ancient_egypt.egypt_three_thousand_years","source.met_egypt_educators","unverified","Ancient Egyptian civilization lasted about 3,000 years, from unification around 3100 to 3000 BCE until Egypt became a province of the Roman Empire in 30 BCE.","https://resources.metmuseum.org/resources/metpublications/pdf/The_Art_of_Ancient_Egypt_A_Resource_for_Educators.pdf","L1 card.ancient_egypt.001.c4; L1 card.ancient_egypt.001.c2; L2 card.ancient_egypt.002.c1; L77 card.ancient_egypt.077.c3; L88 card.ancient_egypt.088.c2; L90 card.ancient_egypt.090.c2; L91 card.ancient_egypt.091.c2; L99 card.ancient_egypt.099.c1; L100 card.ancient_egypt.100.c1","L1 question.ancient_egypt.001.q3; L41 question.ancient_egypt.041.q3; L77 question.ancient_egypt.077.q3; L91 question.ancient_egypt.091.q3; L100 question.ancient_egypt.100.q10","","","","","","corroborated","Wikipedia: the pharaonic era ends with the Roman conquest of Egypt in 30 BC; Oxford History chronology begins the Early Dynastic Period c.3000 BC and the Roman Period in 30 BC. (https://en.wikipedia.org/wiki/Ancient_Egypt https://archive.org/stream/TheOxfordHistoryOfAncient/The+Oxford+History+of+Ancient_djvu.txt)",""
"fact.ancient_egypt.egypt_three_thousand_years","source.oup_oxford_history_egypt","unverified","Ancient Egyptian civilization lasted about 3,000 years, from unification around 3100 to 3000 BCE until Egypt became a province of the Roman Empire in 30 BCE.","https://global.oup.com/academic/product/the-oxford-history-of-ancient-egypt-9780192804587","L1 card.ancient_egypt.001.c4; L1 card.ancient_egypt.001.c2; L2 card.ancient_egypt.002.c1; L77 card.ancient_egypt.077.c3; L88 card.ancient_egypt.088.c2; L90 card.ancient_egypt.090.c2; L91 card.ancient_egypt.091.c2; L99 card.ancient_egypt.099.c1; L100 card.ancient_egypt.100.c1","L1 question.ancient_egypt.001.q3; L41 question.ancient_egypt.041.q3; L77 question.ancient_egypt.077.q3; L91 question.ancient_egypt.091.q3; L100 question.ancient_egypt.100.q10","","","","","","corroborated","Wikipedia: the pharaonic era ends with the Roman conquest of Egypt in 30 BC; Oxford History chronology begins the Early Dynastic Period c.3000 BC and the Roman Period in 30 BC. (https://en.wikipedia.org/wiki/Ancient_Egypt https://archive.org/stream/TheOxfordHistoryOfAncient/The+Oxford+History+of+Ancient_djvu.txt)",""
"fact.ancient_egypt.unification_date","source.met_egypt_educators","unverified","Upper and Lower Egypt became one kingdom around 3100 to 3000 BCE: the Met dates unification to about 3100 BCE, and the Oxford History starts the First Dynasty about 3000 BCE.","https://resources.metmuseum.org/resources/metpublications/pdf/The_Art_of_Ancient_Egypt_A_Resource_for_Educators.pdf","L1 card.ancient_egypt.001.c2; L7 card.ancient_egypt.007.c4; L8 card.ancient_egypt.008.c1; L9 card.ancient_egypt.009.c4; L10 card.ancient_egypt.010.c2; L15 card.ancient_egypt.015.c1; L41 card.ancient_egypt.041.c4","L41 question.ancient_egypt.041.q3; L77 question.ancient_egypt.077.q3","","","","","","corroborated","Met Heilbrunn keyword page: Early Dynastic Period c.3100-2649 BC, with Egypt unified at the start of Dynasty 1; the Oxford History chronology places Narmer and Dynasty 1 around 3000 BC. (https://www.metmuseum.org/toah/keywords/early-dynastic-period-in-egypt https://archive.org/stream/TheOxfordHistoryOfAncient/The+Oxford+History+of+Ancient_djvu.txt)",""
"fact.ancient_egypt.unification_date","source.oup_oxford_history_egypt","unverified","Upper and Lower Egypt became one kingdom around 3100 to 3000 BCE: the Met dates unification to about 3100 BCE, and the Oxford History starts the First Dynasty about 3000 BCE.","https://global.oup.com/academic/product/the-oxford-history-of-ancient-egypt-9780192804587","L1 card.ancient_egypt.001.c2; L7 card.ancient_egypt.007.c4; L8 card.ancient_egypt.008.c1; L9 card.ancient_egypt.009.c4; L10 card.ancient_egypt.010.c2; L15 card.ancient_egypt.015.c1; L41 card.ancient_egypt.041.c4","L41 question.ancient_egypt.041.q3; L77 question.ancient_egypt.077.q3","","","","","","corroborated","Met Heilbrunn keyword page: Early Dynastic Period c.3100-2649 BC, with Egypt unified at the start of Dynasty 1; the Oxford History chronology places Narmer and Dynasty 1 around 3000 BC. (https://www.metmuseum.org/toah/keywords/early-dynastic-period-in-egypt https://archive.org/stream/TheOxfordHistoryOfAncient/The+Oxford+History+of+Ancient_djvu.txt)",""
"fact.ancient_egypt.cleopatra_moon_pyramid","source.brit_cleopatra","unverified","Cleopatra, who died in 30 BCE, lived closer in time to the 1969 Moon landing than to the building of Khufu’s Great Pyramid, completed by the early 25th century BCE.","https://www.britannica.com/biography/Cleopatra-queen-of-Egypt","L1 card.ancient_egypt.001.c1; L80 card.ancient_egypt.080.c2; L94 card.ancient_egypt.094.c4","L1 question.ancient_egypt.001.q3; L80 question.ancient_egypt.080.q5","","","","","","corroborated","WorldAtlas: Great Pyramid completed around 2560 BC, Cleopatra lived in the 1st century BC, Moon landing 1969, so she was closer to the Moon landing. Also holds with Britannica's later date (early 25th century BCE): about 2,450 years versus 1,999. (https://www.worldatlas.com/articles/so-cleopatra-lived-closer-in-time-to-the-first-lunar-landing-than-the-great-pyramids.html)","one-page"
"fact.ancient_egypt.cleopatra_moon_pyramid","source.nasa_apollo11","unverified","Cleopatra, who died in 30 BCE, lived closer in time to the 1969 Moon landing than to the building of Khufu’s Great Pyramid, completed by the early 25th century BCE.","https://www.nasa.gov/mission/apollo-11/","L1 card.ancient_egypt.001.c1; L80 card.ancient_egypt.080.c2; L94 card.ancient_egypt.094.c4","L1 question.ancient_egypt.001.q3; L80 question.ancient_egypt.080.q5","","","","","","corroborated","WorldAtlas: Great Pyramid completed around 2560 BC, Cleopatra lived in the 1st century BC, Moon landing 1969, so she was closer to the Moon landing. Also holds with Britannica's later date (early 25th century BCE): about 2,450 years versus 1,999. (https://www.worldatlas.com/articles/so-cleopatra-lived-closer-in-time-to-the-first-lunar-landing-than-the-great-pyramids.html)","one-page"
"fact.ancient_egypt.cleopatra_moon_pyramid","source.brit_great_pyramid","unverified","Cleopatra, who died in 30 BCE, lived closer in time to the 1969 Moon landing than to the building of Khufu’s Great Pyramid, completed by the early 25th century BCE.","https://www.britannica.com/topic/Great-Pyramid-of-Giza","L1 card.ancient_egypt.001.c1; L80 card.ancient_egypt.080.c2; L94 card.ancient_egypt.094.c4","L1 question.ancient_egypt.001.q3; L80 question.ancient_egypt.080.q5","","","","","","corroborated","WorldAtlas: Great Pyramid completed around 2560 BC, Cleopatra lived in the 1st century BC, Moon landing 1969, so she was closer to the Moon landing. Also holds with Britannica's later date (early 25th century BCE): about 2,450 years versus 1,999. (https://www.worldatlas.com/articles/so-cleopatra-lived-closer-in-time-to-the-first-lunar-landing-than-the-great-pyramids.html)","one-page"
