fact_id,source_id,status,claim,source_url,appears_in,tested_by,supporting_quote,checked_by,checked_at,notes,pre_check,fact_check,fact_check_evidence,weak_evidence
"fact.architecture.vitruvius_only_treatise","source.iet_vitruvius_1511","unverified","Vitruvius's De architectura, written between 33 and 14 BCE (about 2,000 years ago), is the only complete work on architecture to survive from classical antiquity.","https://www.theiet.org/membership/library-and-archives/the-iet-archives/archives-highlights/the-1511-edition-of-vitruvius-on-architecture","L1 card.architecture.001.c1; L41 card.architecture.041.c1; L47 card.architecture.047.c1","","","","","","","corroborated","Reference works describe De architectura, written around 25 BCE, as the only architectural treatise to survive from antiquity. (https://en.wikipedia.org/wiki/De_architectura https://www.worldhistory.org/Vitruvius/)",""
"fact.architecture.vitruvian_triad","source.sep_architecture_tradition","unverified","Vitruvius named three principles of architecture, firmitas, utilitas and venustas; Henry Wotton's 1624 English version made them firmness, commodity and delight.","https://plato.stanford.edu/entries/architecture/tradition.html","L1 card.architecture.001.c2; L99 card.architecture.099.c4","L1 question.architecture.001.q1; L78 question.architecture.078.q3; L98 question.architecture.098.q3; L100 question.architecture.100.q1","","","","","","corroborated","Wotton's 1624 Elements of Architecture renders Vitruvius's triad as 'Commodity, Firmness, and Delight'. (https://en.wikipedia.org/wiki/Firmness,_commodity,_and_delight https://www.lib.uchicago.edu/media/documents/exfcd-text_HvDhxot.pdf)",""
"fact.architecture.vitruvian_triad","source.brit_architecture","unverified","Vitruvius named three principles of architecture, firmitas, utilitas and venustas; Henry Wotton's 1624 English version made them firmness, commodity and delight.","https://www.britannica.com/art/architecture","L1 card.architecture.001.c2; L99 card.architecture.099.c4","L1 question.architecture.001.q1; L78 question.architecture.078.q3; L98 question.architecture.098.q3; L100 question.architecture.100.q1","","","","","","corroborated","Wotton's 1624 Elements of Architecture renders Vitruvius's triad as 'Commodity, Firmness, and Delight'. (https://en.wikipedia.org/wiki/Firmness,_commodity,_and_delight https://www.lib.uchicago.edu/media/documents/exfcd-text_HvDhxot.pdf)",""
"fact.architecture.triad_meanings","source.sep_architecture_tradition","unverified","Firmness is structural strength, commodity is usefulness to the people who use the building, and delight is beauty.","https://plato.stanford.edu/entries/architecture/tradition.html","L1 card.architecture.001.c2; L53 card.architecture.053.c4; L98 card.architecture.098.c4; L99 card.architecture.099.c2; L99 card.architecture.099.c4","L1 question.architecture.001.q1; L78 question.architecture.078.q3; L98 question.architecture.098.q3; L100 question.architecture.100.q1","","","","","","corroborated","Firmitas is glossed as structural integrity, utilitas as function for occupants, venustas as beauty. (https://en.wikipedia.org/wiki/Firmness,_commodity,_and_delight)","one-page weak-pages"
"fact.architecture.triad_meanings","source.brit_architecture","unverified","Firmness is structural strength, commodity is usefulness to the people who use the building, and delight is beauty.","https://www.britannica.com/art/architecture","L1 card.architecture.001.c2; L53 card.architecture.053.c4; L98 card.architecture.098.c4; L99 card.architecture.099.c2; L99 card.architecture.099.c4","L1 question.architecture.001.q1; L78 question.architecture.078.q3; L98 question.architecture.098.q3; L100 question.architecture.100.q1","","","","","","corroborated","Firmitas is glossed as structural integrity, utilitas as function for occupants, venustas as beauty. (https://en.wikipedia.org/wiki/Firmness,_commodity,_and_delight)","one-page weak-pages"
"fact.architecture.architect_etymology","source.etymonline_architect","unverified","The word architect comes from Greek arkhitekton, 'master builder', from arkhi- ('chief') and tekton ('builder').","https://www.etymonline.com/word/architect","L1 card.architecture.001.c3","L1 question.architecture.001.q2; L9 question.architecture.009.q3; L41 question.architecture.041.q3; L50 question.architecture.050.q2; L89 question.architecture.089.q3","","","","","","corroborated","Dictionaries trace architect via Latin architectus to Greek arkhitekton, chief builder. (https://en.wikipedia.org/wiki/Architect)","one-page weak-pages"
"fact.architecture.architect_services","source.riba_work_with_architect","unverified","An architect helps a client prepare the brief, designs the building, and produces drawings with technical specifications that builders can price and build from.","https://www.riba.org/explore/find-an-architect/homeowners-digest/how-do-i-work-with-an-architect/","L1 card.architecture.001.c3; L9 card.architecture.009.c3","L1 question.architecture.001.q2; L9 question.architecture.009.q3; L41 question.architecture.041.q3; L50 question.architecture.050.q2; L89 question.architecture.089.q3","","","","","","corroborated","Guides to the RIBA Plan of Work describe architects developing the brief and design and producing technical drawings and specifications for tender and construction. (https://urbanistarchitecture.co.uk/riba-plan-of-work-stages/)","one-page"
"fact.architecture.architect_approvals_site","source.riba_work_with_architect","unverified","An architect advises on approvals such as planning permission and building regulations and, as contract administrator, can inspect the work on site.","https://www.riba.org/explore/find-an-architect/homeowners-digest/how-do-i-work-with-an-architect/","L1 card.architecture.001.c3","L1 question.architecture.001.q2; L9 question.architecture.009.q3; L41 question.architecture.041.q3; L50 question.architecture.050.q2; L89 question.architecture.089.q3","","","","","","corroborated","Architects secure planning and building-regulation approvals and administer the building contract, including site inspections. (https://urbanistarchitecture.co.uk/riba-plan-of-work-stages/)","one-page"
"fact.architecture.timeline_mud_brick","source.brit_brick","unverified","Sun-dried mud brick was one of the first building materials; bricks were first made in sun-dried form at least 6,000 years ago.","https://www.britannica.com/technology/brick-building-material","L1 card.architecture.001.c4; L6 card.architecture.006.c2; L6 card.architecture.006.c4; L44 card.architecture.044.c2","L1 question.architecture.001.q3; L11 question.architecture.011.q3; L81 question.architecture.081.q3","","","","","","corroborated","Mudbrick is among the oldest building materials, with finds in the Near East far older than 6,000 years. (https://en.wikipedia.org/wiki/Mudbrick)","one-page weak-pages"
"fact.architecture.timeline_post_lintel","source.brit_post_lintel","unverified","The post-and-lintel system was the basis of architecture from prehistoric to Roman times.","https://www.britannica.com/technology/post-and-lintel-system","L1 card.architecture.001.c4; L3 card.architecture.003.c2","L1 question.architecture.001.q3; L11 question.architecture.011.q3","","","","","","corroborated","Post and lintel is described as the basic construction of ancient architecture, from Stonehenge to Greek temples. (https://en.wikipedia.org/wiki/Post_and_lintel)","one-page weak-pages"
"fact.architecture.timeline_pantheon","source.brit_pantheon","unverified","Rome's Pantheon was rebuilt by the emperor Hadrian between 118 and 128 CE, under a great concrete dome.","https://www.britannica.com/topic/Pantheon-building-Rome-Italy","L1 card.architecture.001.c4","L1 question.architecture.001.q3; L11 question.architecture.011.q3","","","","","","corroborated","The present Pantheon was built under Hadrian, completed around 126-128 CE, with a concrete dome. (https://en.wikipedia.org/wiki/Pantheon,_Rome https://eandt.theiet.org/2022/03/15/pantheon-still-worlds-largest-unreinforced-concrete-dome)",""
"fact.architecture.timeline_florence_dome","source.brit_florence_cathedral","unverified","The dome of Florence Cathedral, designed by Filippo Brunelleschi, was begun in 1420 and completed in 1436.","https://www.britannica.com/topic/the-Duomo","L1 card.architecture.001.c4; L5 card.architecture.005.c4","L1 question.architecture.001.q3; L11 question.architecture.011.q3","","","","","","corroborated","Construction of the dome ran from 1420 to 1436. (https://science.howstuffworks.com/engineering/architecture/brunelleschis-dome.htm https://en.wikipedia.org/wiki/Florence_Cathedral)",""
"fact.architecture.timeline_crystal_palace","source.brit_crystal_palace","unverified","London's Crystal Palace, built of prefabricated iron and glass, opened for the Great Exhibition in Hyde Park in 1851.","https://www.britannica.com/topic/Crystal-Palace-building-London","L1 card.architecture.001.c4","L1 question.architecture.001.q3; L11 question.architecture.011.q3","","","","","","corroborated","The cast-iron and plate-glass Crystal Palace housed the Great Exhibition of 1851 in Hyde Park. (https://en.wikipedia.org/wiki/The_Crystal_Palace)","one-page weak-pages"
"fact.architecture.timeline_home_insurance","source.brit_skyscraper","unverified","Chicago's Home Insurance Building (1884-85) is generally considered the first tall building held up by an iron and steel skeleton frame.","https://www.britannica.com/technology/skyscraper","L1 card.architecture.001.c4; L8 card.architecture.008.c4; L61 card.architecture.061.c3","L1 question.architecture.001.q3; L11 question.architecture.011.q3; L61 question.architecture.061.q3","","","","","","corroborated","The Home Insurance Building (1885) is often considered the first skyscraper, the first tall building with a structural steel and iron frame. (https://en.wikipedia.org/wiki/Home_Insurance_Building)","one-page weak-pages"
"fact.architecture.timeline_home_insurance","source.brit_home_insurance_building","unverified","Chicago's Home Insurance Building (1884-85) is generally considered the first tall building held up by an iron and steel skeleton frame.","https://www.britannica.com/place/Home-Insurance-Company-Building","L1 card.architecture.001.c4; L8 card.architecture.008.c4; L61 card.architecture.061.c3","L1 question.architecture.001.q3; L11 question.architecture.011.q3; L61 question.architecture.061.q3","","","","","","corroborated","The Home Insurance Building (1885) is often considered the first skyscraper, the first tall building with a structural steel and iron frame. (https://en.wikipedia.org/wiki/Home_Insurance_Building)","one-page weak-pages"
"fact.architecture.dead_loads","source.mit_primary_loads","unverified","Dead loads act permanently: the self-weight of the structure plus things like roofing, flooring, pipes, ducts and partition walls.","https://web.mit.edu/4.441/1_lectures/1_lecture17/1_lecture17.html","L2 card.architecture.002.c1; L2 card.architecture.002.c2","L2 question.architecture.002.q1; L64 question.architecture.064.q3; L92 question.architecture.092.q3; L95 question.architecture.095.q3","","","","","","corroborated","Dead loads are the permanent weight of roof, floor, wall and foundation systems, finishes and fixed equipment. (https://www.nachi.org/structural-design-loads-home-inspector.htm)","one-page"
"fact.architecture.live_loads","source.mit_primary_loads","unverified","Live loads are transient and can change: people, sofas, pianos, books and cars, plus loads from the weather; wind counts as a sideways (lateral) live load.","https://web.mit.edu/4.441/1_lectures/1_lecture17/1_lecture17.html","L2 card.architecture.002.c2; L64 card.architecture.064.c2; L92 card.architecture.092.c4; L95 card.architecture.095.c4","L2 question.architecture.002.q1; L64 question.architecture.064.q3; L92 question.architecture.092.q3; L95 question.architecture.095.q3","","","","","","corroborated","Live loads are transient loads such as people, furniture and vehicles; wind acts as a lateral load. (https://www.nachi.org/structural-design-loads-home-inspector.htm https://en.wikipedia.org/wiki/Structural_load)",""
"fact.architecture.load_path","source.pnnl_continuous_load_path","unverified","A load path is the route a force takes through a structure; a continuous load path carries loads from the roof, through the walls, to the foundation and into the supporting soil.","https://basc.pnnl.gov/resource-guides/continuous-load-path-provided-connections-roof-through-wall-foundation","L2 card.architecture.002.c1; L2 card.architecture.002.c3; L8 card.architecture.008.c2; L31 card.architecture.031.c2; L45 card.architecture.045.c3; L58 card.architecture.058.c2; L67 card.architecture.067.c2; L95 card.architecture.095.c4","L2 question.architecture.002.q2; L2 question.architecture.002.q3; L3 question.architecture.003.q3; L31 question.architecture.031.q3; L38 question.architecture.038.q3; L58 question.architecture.058.q3; L67 question.architecture.067.q3","","","","","","corroborated","FEMA describes a load path as the route a force takes through a structure until it is transferred to the supporting soils. (https://www.fema.gov/sites/default/files/documents/fema_p-2181-fact-sheet-3-2-wall-openings.pdf https://www.jlconline.com/how-to/framing/basic-load-paths_o)",""
"fact.architecture.tension_compression_defined","source.brit_bridge_engineering","unverified","Compression is a pushing, squeezing force and tension a pulling, stretching one; structures must resist both.","https://www.britannica.com/technology/bridge-engineering","L2 card.architecture.002.c4; L3 card.architecture.003.c3; L10 card.architecture.010.c2; L96 card.architecture.096.c3","L2 question.architecture.002.q3; L10 question.architecture.010.q3; L45 question.architecture.045.q3","","","","","","corroborated","Engineering references define tension as a stretching force and compression as a squeezing force. (https://plus.maths.org/content/matjhs-minute-catenary https://en.wikipedia.org/wiki/Compression_(physics))",""
