fact_id,source_id,status,claim,source_url,appears_in,tested_by,supporting_quote,checked_by,checked_at,notes,pre_check,fact_check,fact_check_evidence,weak_evidence
"fact.music.universal_315_societies","source.harvard_gazette_music_universal","unverified","A Harvard-led study published in Science in 2019 examined ethnographic records of 315 societies and found music in every one of them.","https://news.harvard.edu/gazette/story/2019/11/new-harvard-study-establishes-music-is-universal/","L1 card.music.001.c1","L1 question.music.001.q1; L21 question.music.021.q3; L100 question.music.100.q1","","","","","","corroborated","ScienceDaily and EurekAlert reports on Mehr et al. (Science, 2019) say the team examined 315 societies and found music in all of them. (https://www.sciencedaily.com/releases/2019/11/191122113300.htm https://www.eurekalert.org/news-releases/755067)",""
"fact.music.lullabies_dance_songs_everywhere","source.harvard_gazette_music_universal","unverified","The same 2019 study found that lullabies and dance songs are ubiquitous across the world's societies.","https://news.harvard.edu/gazette/story/2019/11/new-harvard-study-establishes-music-is-universal/","L1 card.music.001.c1","L1 question.music.001.q1; L21 question.music.021.q3; L100 question.music.100.q1","","","","","","corroborated","Reports on Mehr et al. (2019) state that lullabies and dance songs were found across societies and share features. (https://www.sciencedaily.com/releases/2019/11/191122113300.htm https://www.sci.news/othersciences/anthropology/human-songs-universal-features-07839.html)",""
"fact.music.music_definition","source.brit_music","unverified","Britannica defines music as combining sounds for beauty of form or emotional expression, usually by cultural standards of rhythm, melody and, in most Western music, harmony.","https://www.britannica.com/art/music","L1 card.music.001.c2; L1 card.music.001.c4; L51 card.music.051.c4; L96 card.music.096.c3","L1 question.music.001.q2; L1 question.music.001.q3; L6 question.music.006.q3","","","","","","corroborated","Wikipedia's Music article likewise names rhythm, melody and harmony as elements and notes that Indian classical music is monophonic, built on a single melodic line. (https://en.wikipedia.org/wiki/Music)","one-page weak-pages"
"fact.music.rhythm_definition","source.brit_rhythm_music","unverified","Rhythm is the organization of sounds in time: patterns of long and short sounds over a steady beat.","https://www.britannica.com/art/rhythm-music","L1 card.music.001.c2; L1 card.music.001.c3; L4 card.music.004.c4; L10 card.music.010.c4; L41 card.music.041.c3; L83 card.music.083.c3","L1 question.music.001.q2; L1 question.music.001.q3; L4 question.music.004.q3; L24 question.music.024.q3; L31 question.music.031.q3; L50 question.music.050.q7","","","","","","corroborated","Wikipedia's Metre article distinguishes rhythm (the sounded pattern of durations) from the regular beats underneath it. (https://en.wikipedia.org/wiki/Metre_(music))","one-page weak-pages"
"fact.music.rhythm_definition","source.brit_music","unverified","Rhythm is the organization of sounds in time: patterns of long and short sounds over a steady beat.","https://www.britannica.com/art/music","L1 card.music.001.c2; L1 card.music.001.c3; L4 card.music.004.c4; L10 card.music.010.c4; L41 card.music.041.c3; L83 card.music.083.c3","L1 question.music.001.q2; L1 question.music.001.q3; L4 question.music.004.q3; L24 question.music.024.q3; L31 question.music.031.q3; L50 question.music.050.q7","","","","","","corroborated","Wikipedia's Metre article distinguishes rhythm (the sounded pattern of durations) from the regular beats underneath it. (https://en.wikipedia.org/wiki/Metre_(music))","one-page weak-pages"
"fact.music.melody_definition","source.brit_melody","unverified","A melody is a sequence of single notes heard as one coherent line, often the most recognizable part of a piece of music.","https://www.britannica.com/art/melody","L1 card.music.001.c3; L1 card.music.001.c4; L5 card.music.005.c2; L5 card.music.005.c4; L10 card.music.010.c4; L24 card.music.024.c2; L46 card.music.046.c3","L1 question.music.001.q2; L1 question.music.001.q3; L6 question.music.006.q3; L24 question.music.024.q3; L31 question.music.031.q3","","","","","","corroborated","Wikipedia defines melody as a linear succession of musical tones that the listener perceives as a single entity, the foreground of a work. (https://en.wikipedia.org/wiki/Melody)","one-page weak-pages"
"fact.music.harmony_definition","source.brit_harmony_music","unverified","Harmony is the sound of two or more notes heard at the same time; notes sounding together form chords, and a three-note chord is called a triad.","https://www.britannica.com/art/harmony-music","L1 card.music.001.c3; L6 card.music.006.c1; L6 card.music.006.c2; L10 card.music.010.c4; L24 card.music.024.c2; L27 card.music.027.c2; L69 card.music.069.c2; L95 card.music.095.c2","L1 question.music.001.q2; L1 question.music.001.q3; L24 question.music.024.q3; L31 question.music.031.q3","","","","","","corroborated","The Open University's music theory course defines a triad as three notes sounding together; Wikipedia defines a chord as notes played at the same time, the most common having three. (https://www.open.edu/openlearn/history-the-arts/music/an-introduction-music-theory/content-section-7 https://en.wikipedia.org/wiki/Chord_(music))",""
"fact.music.harmony_definition","source.brit_triad","unverified","Harmony is the sound of two or more notes heard at the same time; notes sounding together form chords, and a three-note chord is called a triad.","https://www.britannica.com/art/triad-music","L1 card.music.001.c3; L6 card.music.006.c1; L6 card.music.006.c2; L10 card.music.010.c4; L24 card.music.024.c2; L27 card.music.027.c2; L69 card.music.069.c2; L95 card.music.095.c2","L1 question.music.001.q2; L1 question.music.001.q3; L24 question.music.024.q3; L31 question.music.031.q3","","","","","","corroborated","The Open University's music theory course defines a triad as three notes sounding together; Wikipedia defines a chord as notes played at the same time, the most common having three. (https://www.open.edu/openlearn/history-the-arts/music/an-introduction-music-theory/content-section-7 https://en.wikipedia.org/wiki/Chord_(music))",""
"fact.music.sound_needs_medium","source.brit_sound_physics","unverified","Sound is a mechanical wave that needs a medium such as air, water or a solid; it cannot travel through a vacuum.","https://www.britannica.com/science/sound-physics","L2 card.music.002.c1","L2 question.music.002.q1","","","","","","corroborated","West Texas A&M's physics Q&A and OpenStax both describe sound as a disturbance of matter; with no air to vibrate, space carries no sound. (https://www.wtamu.edu/~cbaird/sq/2013/02/14/does-sound-travel-faster-in-space/ https://openstax.org/books/college-physics-2e/pages/17-1-sound)",""
"fact.music.sound_compressions","source.openstax_physics_sound","unverified","A vibrating object pushes on the air, making compressions (high pressure) and rarefactions (low pressure) that travel outward as a pressure wave.","https://openstax.org/books/college-physics-2e/pages/17-1-sound","L2 card.music.002.c2; L2 card.music.002.c4; L3 card.music.003.c2; L10 card.music.010.c2; L10 card.music.010.c4; L11 card.music.011.c2; L15 card.music.015.c2; L71 card.music.071.c3","L2 question.music.002.q2; L10 question.music.010.q3; L71 question.music.071.q3","","","","","","corroborated","OpenStax and Britannica each describe sound waves in air as alternating compressions and rarefactions moving out from the source. (https://www.britannica.com/science/sound-physics https://openstax.org/books/college-physics-2e/pages/17-1-sound)",""
