fact_id,source_id,status,claim,source_url,appears_in,tested_by,supporting_quote,checked_by,checked_at,notes,pre_check,fact_check,fact_check_evidence,weak_evidence
"fact.government.govern_word_steer","source.etymonline_govern","unverified","The word 'govern' comes, through Latin gubernare, from the Greek kybernan, meaning to steer or pilot a ship.","https://www.etymonline.com/word/govern","L1 card.government.001.c1; L10 card.government.010.c4; L28 card.government.028.c3; L50 card.government.050.c1; L100 card.government.100.c1","L1 question.government.001.q1; L1 question.government.001.q3; L28 question.government.028.q3; L100 question.government.100.q1","","","","","","corroborated","Etymonline traces govern to Latin gubernare and Greek kybernan 'to steer or pilot a ship'; alphaDictionary gives the same nautical origin. (https://www.etymonline.com/word/govern https://www.alphadictionary.com/goodword/word/govern)",""
"fact.government.government_definition","source.brit_government","unverified","Government is the political system by which a country or community is administered and regulated: how a society organizes itself and allocates authority.","https://www.britannica.com/topic/government","L1 card.government.001.c2; L2 card.government.002.c4; L21 card.government.021.c2","L21 question.government.021.q3","","","","","","corroborated","Britannica defines government as the political system by which a country or community is administered and regulated; OpenStax describes it as how a society organizes itself and allocates authority. (https://www.britannica.com/topic/government https://openstax.org/books/american-government-3e/pages/1-1-what-is-government)",""
"fact.government.government_definition","source.openstax_amgov_what_is_government","unverified","Government is the political system by which a country or community is administered and regulated: how a society organizes itself and allocates authority.","https://openstax.org/books/american-government-3e/pages/1-1-what-is-government","L1 card.government.001.c2; L2 card.government.002.c4; L21 card.government.021.c2","L21 question.government.021.q3","","","","","","corroborated","Britannica defines government as the political system by which a country or community is administered and regulated; OpenStax describes it as how a society organizes itself and allocates authority. (https://www.britannica.com/topic/government https://openstax.org/books/american-government-3e/pages/1-1-what-is-government)",""
"fact.government.government_functions","source.openstax_amgov_what_is_government","unverified","Governments make laws to keep order, provide defense, police and fire services, provide benefits such as education, health care and roads, and raise money through taxes.","https://openstax.org/books/american-government-3e/pages/1-1-what-is-government","L1 card.government.001.c3","","","","","","","corroborated","OpenStax lists laws to maintain order, military, police and fire, education, health care and transport infrastructure, and taxes; Britannica lists national defense, domestic peace and public education among government functions. (https://openstax.org/books/american-government-3e/pages/1-1-what-is-government https://www.britannica.com/topic/government)",""
"fact.government.government_functions","source.brit_government","unverified","Governments make laws to keep order, provide defense, police and fire services, provide benefits such as education, health care and roads, and raise money through taxes.","https://www.britannica.com/topic/government","L1 card.government.001.c3","","","","","","","corroborated","OpenStax lists laws to maintain order, military, police and fire, education, health care and transport infrastructure, and taxes; Britannica lists national defense, domestic peace and public education among government functions. (https://openstax.org/books/american-government-3e/pages/1-1-what-is-government https://www.britannica.com/topic/government)",""
"fact.government.government_few_humans","source.brit_government","unverified","Britannica notes that so long as humans were few, there was hardly any government; the rise of agriculture began to change that.","https://www.britannica.com/topic/government","L1 card.government.001.c4","L1 question.government.001.q2; L1 question.government.001.q3; L3 question.government.003.q3; L51 question.government.051.q3","","","","","","corroborated","Britannica's early-forms section: 'So long as humans were few, there was hardly any government' and 'The rise of agriculture began to change that'. Britannica's Sumer article likewise ties the state's rise to farming by irrigation. (https://www.britannica.com/topic/government/Early-forms-of-government https://www.britannica.com/place/Sumer)",""
"fact.government.government_sumer_irrigation","source.brit_government","unverified","In Sumer, in today's Iraq, irrigation farming meant the flow of water down the Tigris and Euphrates had to be coordinated by a central authority.","https://www.britannica.com/topic/government","L1 card.government.001.c4; L10 card.government.010.c2; L51 card.government.051.c2","L1 question.government.001.q2; L1 question.government.001.q3; L3 question.government.003.q3; L51 question.government.051.q3","","","","","","corroborated","Britannica: in Sumer (modern Iraq) control of the flow of water down the Tigris and Euphrates had to be coordinated by a central authority. Britannica's Sumer entry says dependence on irrigation required communal organization and governmental institutions. (https://www.britannica.com/topic/government/Early-forms-of-government https://www.britannica.com/place/Sumer)",""
"fact.government.government_un_193","source.un_member_states","unverified","The United Nations has 193 member states, from large countries like India to small ones like Tuvalu.","https://www.un.org/en/about-us/member-states","L1 card.government.001.c5; L81 card.government.081.c1; L84 card.government.084.c3","L81 question.government.081.q3; L84 question.government.084.q3","","","","","","corroborated","The UN member-states list has 193 entries, including India and Tuvalu; UN pages on the General Assembly and the UN library's membership guide give 193 Member States. (https://www.un.org/en/about-us/member-states https://research.un.org/en/unmembers/currentmembers)",""
"fact.government.rules_football_before_1863","source.thefa_history","unverified","Before the Football Association was formed in 1863, schools and clubs played football by their own rules, and there were 'feverish' disputes over how it should be played.","https://www.thefa.com/about-football-association/who-we-are/history","L2 card.government.002.c1","","","","","","","corroborated","The FA's history page recalls 'feverish' disputes over how the game should be played; the British Newspaper Archive blog notes there were no universally accepted rules before the 1863 meeting and that schools played their own codes. (https://www.thefa.com/about-football-association/who-we-are/history https://blog.britishnewspaperarchive.co.uk/2013/10/25/the-founding-of-the-football-association-the-freemasons-tavern-london-26-october-1863/)",""
"fact.government.rules_fa_founded_1863","source.thefa_history","unverified","On 26 October 1863, clubs met at the Freemasons' Tavern in London and formed the Football Association to establish a definite code of rules for the game.","https://www.thefa.com/about-football-association/who-we-are/history","L2 card.government.002.c2; L10 card.government.010.c2","L2 question.government.002.q1; L2 question.government.002.q3; L10 question.government.010.q3","","","","","","corroborated","The FA gives 26 October 1863 at the Freemasons' Tavern, 'for the purpose of forming an Association with the object of establishing a definite code of rules'; the BNA blog gives the same date, place and purpose. (https://www.thefa.com/about-football-association/who-we-are/history https://blog.britishnewspaperarchive.co.uk/2013/10/25/the-founding-of-the-football-association-the-freemasons-tavern-london-26-october-1863/)",""
"fact.government.rules_morley_cricket","source.thefa_history","unverified","FA founder Ebenezer Morley argued that football should have a set of rules in the same way that cricket had them.","https://www.thefa.com/about-football-association/who-we-are/history","L2 card.government.002.c2","L2 question.government.002.q1; L2 question.government.002.q3; L10 question.government.010.q3","","","","","","corroborated","The FA history quotes Morley's proposal that football should have a set of rules as the MCC had for cricket; Guide to Football's account of the 1863 laws credits Morley with prompting the meeting. (https://www.thefa.com/about-football-association/who-we-are/history https://guidetofootball.com/history/the-1863-laws-of-the-game/)",""
"fact.government.rules_sweden_neighbors_right","source.99pi_h_day","unverified","Until 1967, Sweden drove on the left while its neighbors Denmark, Finland and Norway drove on the right, which led to accidents for Swedes abroad and visitors to Sweden.","https://99percentinvisible.org/episode/h-day/","L2 card.government.002.c3","L2 question.government.002.q2","","","","","","corroborated","99% Invisible: Sweden drove on the left while Denmark, Finland and Norway drove on the right, and Swedes abroad and tourists in Sweden got into accidents. History Facts also says most of Europe drove on the right. (https://99percentinvisible.org/episode/h-day/ https://historyfacts.com/world-history/fact/sweden-switched-driving-left-to-right/)",""
"fact.government.rules_dagen_h","source.99pi_h_day","unverified","On 3 September 1967, Dagen H, Sweden switched from left- to right-hand traffic: early that morning traffic stopped, then every vehicle moved to the right.","https://99percentinvisible.org/episode/h-day/","L2 card.government.002.c4; L5 card.government.005.c4; L10 card.government.010.c3","L2 question.government.002.q3; L5 question.government.005.q3; L10 question.government.010.q3","","","","","","corroborated","99% Invisible and History Facts both date the switch to 3 September 1967, with traffic halted just before 5 a.m. and moved to the right side of the road. (https://99percentinvisible.org/episode/h-day/ https://historyfacts.com/world-history/fact/sweden-switched-driving-left-to-right/)",""
